# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 331K of event 'cycles'
# Event count (approx.): 21195403568036
#
# Children      Self  Command          Shared Object              Symbol                                          
# ........  ........  ...............  .........................  ................................................
#
     1.49%     0.45%  redis-server     [kernel.kallsyms]          [k] __memcg_kmem_charge_page
     1.39%     0.20%  memtier_benchma  [kernel.kallsyms]          [k] do_epoll_wait
     1.33%     0.01%  redis-server     [kernel.kallsyms]          [k] skb_free_head
     1.33%     0.06%  redis-server     [kernel.kallsyms]          [k] kfree
     1.33%     0.00%  redis-server     [kernel.kallsyms]          [k] swap_readpage
     1.31%     0.01%  redis-server     [kernel.kallsyms]          [k] __wake_up_sync_key
     1.30%     0.05%  memtier_benchma  [kernel.kallsyms]          [k] obj_cgroup_uncharge_pages
     1.30%     0.04%  redis-server     [kernel.kallsyms]          [k] skb_copy_datagram_from_iter
     1.30%     0.03%  redis-server     [kernel.kallsyms]          [k] __wake_up_common_lock
     1.23%     0.00%  redis-server     [kernel.kallsyms]          [k] bdev_read_page
     1.23%     0.07%  memtier_benchma  [kernel.kallsyms]          [k] __mem_cgroup_uncharge
     1.23%     0.01%  redis-server     [kernel.kallsyms]          [k] zram_rw_page
     1.21%     0.01%  redis-server     [kernel.kallsyms]          [k] zram_bvec_rw.constprop.0
     1.19%     0.03%  kswapd1          [kernel.kallsyms]          [k] shrink_page_list
     1.19%     0.04%  redis-server     [kernel.kallsyms]          [k] __zram_bvec_read.constprop.0
     1.15%     0.62%  redis-server     [kernel.kallsyms]          [k] obj_cgroup_charge_pages
     1.14%     0.83%  memtier_benchma  [kernel.kallsyms]          [k] page_counter_try_charge
     1.14%     1.12%  redis-server     [kernel.kallsyms]          [k] copy_user_enhanced_fast_string
     1.13%     0.21%  memtier_benchma  [kernel.kallsyms]          [k] __fget_light
     1.09%     0.08%  redis-server     [kernel.kallsyms]          [k] __wake_up_common
     1.08%     0.00%  redis-server     [kernel.kallsyms]          [k] zcomp_decompress
     1.08%     0.00%  redis-server     [kernel.kallsyms]          [k] crypto_comp_decompress
     1.08%     0.00%  redis-server     [kernel.kallsyms]          [k] lzorle_decompress
     1.08%     1.07%  redis-server     [kernel.kallsyms]          [k] lzo1x_decompress_safe
     1.07%     0.29%  redis-server     [kernel.kallsyms]          [k] rmqueue_bulk
     1.05%     1.05%  redis-server     [kernel.kallsyms]          [k] native_queued_spin_lock_slowpath
     1.04%     0.04%  memtier_benchma  [kernel.kallsyms]          [k] uncharge_batch
     1.04%     0.26%  redis-server     [kernel.kallsyms]          [k] __kmalloc_node_track_caller
     1.01%     0.01%  memtier_benchma  [kernel.kallsyms]          [k] __wake_up_sync_key
     1.01%     0.10%  redis-server     [kernel.kallsyms]          [k] kmem_cache_free
     1.01%     0.01%  redis-server     [kernel.kallsyms]          [k] kfree_skbmem
     1.00%     0.04%  memtier_benchma  [kernel.kallsyms]          [k] __wake_up_common_lock
     0.99%     0.14%  memtier_benchma  [kernel.kallsyms]          [k] sock_def_readable
     0.99%     0.98%  memtier_benchma  [kernel.kallsyms]          [k] propagate_protected_usage
     0.95%     0.49%  memtier_benchma  [kernel.kallsyms]          [k] __check_object_size
     0.94%     0.02%  redis-server     [kernel.kallsyms]          [k] skb_release_head_state
     0.94%     0.18%  redis-server     [kernel.kallsyms]          [k] ep_poll_callback
     0.93%     0.08%  memtier_benchma  [kernel.kallsyms]          [k] __x64_sys_ioctl
     0.93%     0.04%  redis-server     [kernel.kallsyms]          [k] unix_destruct_scm
     0.93%     0.91%  memtier_benchma  [kernel.kallsyms]          [k] __fget_files
     0.92%     0.91%  memtier_benchma  [kernel.kallsyms]          [k] get_obj_cgroup_from_current
     0.91%     0.05%  redis-server     [kernel.kallsyms]          [k] sock_def_readable
     0.88%     0.33%  redis-server     [kernel.kallsyms]          [k] sock_wfree
     0.85%     0.39%  redis-server     [kernel.kallsyms]          [k] mod_objcg_state
     0.83%     0.56%  memtier_benchma  [kernel.kallsyms]          [k] drain_obj_stock
     0.82%     0.02%  redis-server     [kernel.kallsyms]          [k] unix_stream_read_actor
     0.82%     0.33%  memtier_benchma  [kernel.kallsyms]          [k] __entry_text_start
     0.80%     0.02%  redis-server     [kernel.kallsyms]          [k] skb_copy_datagram_iter
     0.78%     0.04%  redis-server     [kernel.kallsyms]          [k] __skb_datagram_iter
     0.77%     0.04%  memtier_benchma  [kernel.kallsyms]          [k] __fdget
     0.76%     0.07%  memtier_benchma  [kernel.kallsyms]          [k] __wake_up_common
     0.76%     0.00%  swapper          [kernel.kallsyms]          [k] arch_call_rest_init
     0.76%     0.00%  swapper          [kernel.kallsyms]          [k] rest_init
     0.76%     0.00%  swapper          [kernel.kallsyms]          [k] start_kernel
     0.76%     0.00%  swapper          [kernel.kallsyms]          [k] x86_64_start_kernel
     0.76%     0.00%  swapper          [kernel.kallsyms]          [k] x86_64_start_reservations
     0.75%     0.36%  redis-server     [kernel.kallsyms]          [k] try_charge_memcg
     0.74%     0.02%  redis-server     [kernel.kallsyms]          [k] simple_copy_to_iter
     0.67%     0.05%  memtier_benchma  [kernel.kallsyms]          [k] import_iovec
     0.66%     0.42%  redis-server     [kernel.kallsyms]          [k] _raw_spin_lock_irqsave
     0.65%     0.21%  memtier_benchma  [kernel.kallsyms]          [k] ep_poll_callback
     0.61%     0.08%  memtier_benchma  [kernel.kallsyms]          [k] __import_iovec
     0.60%     0.07%  redis-server     [kernel.kallsyms]          [k] exit_to_user_mode_prepare
     0.60%     0.09%  memtier_benchma  [kernel.kallsyms]          [k] do_vfs_ioctl
     0.58%     0.01%  memtier_benchma  [kernel.kallsyms]          [k] schedule_hrtimeout_range
     0.57%     0.04%  memtier_benchma  [kernel.kallsyms]          [k] rw_verify_area
     0.57%     0.01%  memtier_benchma  [kernel.kallsyms]          [k] schedule_hrtimeout_range_clock
     0.57%     0.11%  memtier_benchma  [kernel.kallsyms]          [k] sock_ioctl
     0.57%     0.08%  memtier_benchma  [kernel.kallsyms]          [k] ep_item_poll.isra.0
     0.56%     0.02%  memtier_benchma  [kernel.kallsyms]          [k] schedule
     0.56%     0.39%  memtier_benchma  [kernel.kallsyms]          [k] _raw_spin_lock_irqsave
     0.55%     0.55%  redis-server     [kernel.kallsyms]          [k] blkcg_rstat_flush
     0.55%     0.10%  redis-server     [kernel.kallsyms]          [k] unix_write_space
     0.55%     0.11%  memtier_benchma  [kernel.kallsyms]          [k] syscall_exit_to_user_mode
     0.55%     0.32%  memtier_benchma  [kernel.kallsyms]          [k] sock_poll
     0.54%     0.00%  redis-server     [kernel.kallsyms]          [k] __wake_up
     0.53%     0.06%  memtier_benchma  [kernel.kallsyms]          [k] __schedule
     0.52%     0.42%  redis-server     [kernel.kallsyms]          [k] __slab_free
     0.52%     0.00%  redis-server     [kernel.kallsyms]          [k] task_work_run
     0.52%     0.00%  redis-server     [kernel.kallsyms]          [k] task_numa_work
     0.52%     0.00%  redis-server     [kernel.kallsyms]          [k] change_prot_numa
     0.51%     0.08%  memtier_benchma  [kernel.kallsyms]          [k] iovec_from_user
     0.51%     0.00%  redis-server     [kernel.kallsyms]          [k] autoremove_wake_function
     0.50%     0.03%  memtier_benchma  [kernel.kallsyms]          [k] skb_copy_datagram_from_iter
     0.50%     0.00%  redis-server     [kernel.kallsyms]          [k] default_wake_function
     0.49%     0.02%  redis-server     [kernel.kallsyms]          [k] try_to_wake_up
     0.48%     0.08%  memtier_benchma  [kernel.kallsyms]          [k] security_file_permission
     0.47%     0.47%  redis-server     [kernel.kallsyms]          [k] sync_regs
     0.47%     0.20%  memtier_benchma  [kernel.kallsyms]          [k] mod_objcg_state
     0.46%     0.44%  redis-server     [kernel.kallsyms]          [k] change_protection
     0.46%     0.41%  memtier_benchma  [kernel.kallsyms]          [k] mutex_lock
     0.45%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] kfree_skbmem
     0.45%     0.08%  memtier_benchma  [kernel.kallsyms]          [k] kmem_cache_free
     0.45%     0.18%  redis-server     [kernel.kallsyms]          [k] cgroup_rstat_updated
     0.45%     0.44%  memtier_benchma  [kernel.kallsyms]          [k] _raw_read_lock_irqsave
     0.43%     0.31%  memtier_benchma  [kernel.kallsyms]          [k] exit_to_user_mode_prepare
     0.42%     0.00%  kswapd1          [kernel.kallsyms]          [k] rmap_walk
     0.42%     0.21%  memtier_benchma  [kernel.kallsyms]          [k] __mod_memcg_state.part.0
     0.42%     0.42%  redis-server     redis-check-rdb            [.] stringObjectLen
     0.42%     0.04%  memtier_benchma  [kernel.kallsyms]          [k] sock_do_ioctl
     0.40%     0.11%  redis-server     [kernel.kallsyms]          [k] kmem_cache_alloc_node
     0.40%     0.00%  redis-server     [kernel.kallsyms]          [k] swap_free
     0.40%     0.01%  kswapd1          [kernel.kallsyms]          [k] rmap_walk_anon
     0.40%     0.37%  memtier_benchma  [kernel.kallsyms]          [k] fput
     0.39%     0.33%  memtier_benchma  [kernel.kallsyms]          [k] apparmor_file_permission
     0.39%     0.38%  memtier_benchma  [kernel.kallsyms]          [k] copy_user_generic_unrolled
     0.39%     0.00%  kswapd1          [kernel.kallsyms]          [k] pageout
     0.38%     0.00%  redis-server     [kernel.kallsyms]          [k] __swap_entry_free
     0.38%     0.00%  redis-server     [kernel.kallsyms]          [k] free_swap_slot
     0.38%     0.01%  redis-server     [kernel.kallsyms]          [k] irqentry_exit
     0.38%     0.00%  redis-server     [kernel.kallsyms]          [k] irqentry_exit_to_user_mode
     0.38%     0.37%  redis-server     [kernel.kallsyms]          [k] copy_user_generic_unrolled
     0.38%     0.00%  redis-server     [kernel.kallsyms]          [k] swapcache_free_entries
     0.37%     0.13%  redis-server     [kernel.kallsyms]          [k] __mod_memcg_state.part.0
     0.37%     0.00%  kswapd1          [kernel.kallsyms]          [k] swap_writepage
     0.37%     0.05%  redis-server     [kernel.kallsyms]          [k] ___slab_alloc
     0.37%     0.08%  memtier_benchma  [kernel.kallsyms]          [k] ___slab_alloc
     0.37%     0.10%  redis-server     [kernel.kallsyms]          [k] __mod_memcg_lruvec_state
     0.36%     0.00%  kswapd1          [kernel.kallsyms]          [k] __swap_writepage
     0.36%     0.14%  memtier_benchma  [kernel.kallsyms]          [k] cgroup_rstat_updated
     0.36%     0.00%  kswapd1          [kernel.kallsyms]          [k] page_referenced
     0.36%     0.00%  kswapd1          [kernel.kallsyms]          [k] bdev_write_page
     0.35%     0.08%  memtier_benchma  [kernel.kallsyms]          [k] unix_ioctl
     0.35%     0.00%  swapper          [kernel.kallsyms]          [k] schedule_idle
     0.35%     0.01%  memtier_benchma  [kernel.kallsyms]          [k] skb_release_head_state
     0.34%     0.04%  memtier_benchma  [kernel.kallsyms]          [k] unix_destruct_scm
     0.34%     0.00%  kswapd1          [kernel.kallsyms]          [k] zram_rw_page
     0.33%     0.05%  swapper          [kernel.kallsyms]          [k] __schedule
     0.33%     0.32%  memtier_benchma  [kernel.kallsyms]          [k] __free_one_page
     0.32%     0.00%  redis-server     [kernel.kallsyms]          [k] ttwu_do_activate
     0.31%     0.04%  kswapd1          [kernel.kallsyms]          [k] zram_bvec_rw.constprop.0
     0.31%     0.11%  memtier_benchma  [kernel.kallsyms]          [k] sock_wfree
     0.31%     0.31%  redis-server     [kernel.kallsyms]          [k] memset_erms
     0.31%     0.08%  memtier_benchma  [kernel.kallsyms]          [k] __mod_memcg_lruvec_state
     0.31%     0.00%  redis-server     [kernel.kallsyms]          [k] asm_sysvec_apic_timer_interrupt
     0.31%     0.00%  redis-server     [kernel.kallsyms]          [k] new_slab
     0.30%     0.00%  redis-server     [kernel.kallsyms]          [k] sysvec_apic_timer_interrupt
     0.30%     0.03%  kswapd1          [kernel.kallsyms]          [k] page_referenced_one
     0.30%     0.29%  memtier_benchma  [kernel.kallsyms]          [k] __virt_addr_valid
     0.29%     0.00%  redis-server     [kernel.kallsyms]          [k] enqueue_task
     0.29%     0.28%  memtier_benchma  [kernel.kallsyms]          [k] syscall_return_via_sysret
     0.29%     0.01%  kswapd1          [kernel.kallsyms]          [k] shrink_active_list
     0.28%     0.01%  memtier_benchma  [kernel.kallsyms]          [k] new_slab
     0.28%     0.11%  redis-server     [kernel.kallsyms]          [k] __check_object_size
     0.28%     0.16%  redis-server     [kernel.kallsyms]          [k] rcu_read_unlock_strict
     0.27%     0.06%  redis-server     [kernel.kallsyms]          [k] refill_obj_stock
     0.27%     0.00%  redis-server     [kernel.kallsyms]          [k] swap_range_free
     0.27%     0.07%  redis-server     [kernel.kallsyms]          [k] __count_memcg_events
     0.27%     0.04%  memtier_benchma  [kernel.kallsyms]          [k] __fdget_pos
     0.26%     0.17%  memtier_benchma  [kernel.kallsyms]          [k] __slab_free
     0.26%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] __alloc_pages
     0.25%     0.02%  redis-server     [kernel.kallsyms]          [k] syscall_exit_to_user_mode
     0.25%     0.02%  memtier_benchma  [kernel.kallsyms]          [k] get_page_from_freelist
     0.25%     0.01%  memtier_benchma  [kernel.kallsyms]          [k] dequeue_task
     0.25%     0.24%  memtier_benchma  [kernel.kallsyms]          [k] _raw_write_lock_irq
     0.24%     0.01%  redis-server     [kernel.kallsyms]          [k] obj_cgroup_uncharge
     0.24%     0.02%  memtier_benchma  [kernel.kallsyms]          [k] dequeue_task_fair
     0.24%     0.23%  memtier_benchma  [kernel.kallsyms]          [k] mutex_unlock
     0.24%     0.23%  kswapd1          [kernel.kallsyms]          [k] page_vma_mapped_walk
     0.24%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] alloc_pages
     0.23%     0.22%  memtier_benchma  [kernel.kallsyms]          [k] unix_poll
     0.22%     0.22%  redis-server     [kernel.kallsyms]          [k] _raw_read_lock_irqsave
     0.22%     0.00%  redis-server     [kernel.kallsyms]          [k] page_counter_uncharge
     0.21%     0.02%  memtier_benchma  [kernel.kallsyms]          [k] dequeue_entity
     0.21%     0.16%  redis-server     [kernel.kallsyms]          [k] page_counter_cancel
     0.20%     0.04%  redis-server     [kernel.kallsyms]          [k] obj_cgroup_charge
     0.20%     0.01%  redis-server     [kernel.kallsyms]          [k] refill_stock
     0.20%     0.14%  memtier_benchma  [kernel.kallsyms]          [k] rcu_read_unlock_strict
     0.20%     0.00%  kswapd1          [kernel.kallsyms]          [k] arch_tlbbatch_flush
     0.20%     0.07%  memtier_benchma  [kernel.kallsyms]          [k] __count_memcg_events
     0.20%     0.04%  memtier_benchma  [kernel.kallsyms]          [k] unix_write_space
     0.20%     0.00%  kswapd1          [kernel.kallsyms]          [k] native_flush_tlb_multi
     0.20%     0.00%  kswapd1          [kernel.kallsyms]          [k] crypto_comp_compress
     0.20%     0.00%  kswapd1          [kernel.kallsyms]          [k] lzorle_compress
     0.20%     0.00%  kswapd1          [kernel.kallsyms]          [k] zcomp_compress
     0.20%     0.00%  kswapd1          [kernel.kallsyms]          [k] lzorle1x_1_compress
     0.20%     0.00%  kswapd1          [kernel.kallsyms]          [k] on_each_cpu_cond_mask
     0.19%     0.19%  memtier_benchma  [kernel.kallsyms]          [k] memset_erms
     0.19%     0.19%  kswapd1          [kernel.kallsyms]          [k] smp_call_function_many_cond
     0.19%     0.16%  memtier_benchma  [kernel.kallsyms]          [k] _copy_to_iter
     0.19%     0.00%  redis-server     [kernel.kallsyms]          [k] drain_stock
     0.18%     0.10%  memtier_benchma  [kernel.kallsyms]          [k] __build_skb_around
     0.18%     0.18%  redis-server     [kernel.kallsyms]          [k] xas_load
     0.17%     0.02%  memtier_benchma  [kernel.kallsyms]          [k] skb_queue_tail
     0.17%     0.03%  redis-server     [kernel.kallsyms]          [k] psi_task_change
     0.17%     0.17%  memtier_benchma  libc.so.6                  [.] epoll_ctl
     0.17%     0.17%  memtier_benchma  [kernel.kallsyms]          [k] __put_user_nocheck_4
     0.17%     0.17%  memtier_benchma  [kernel.kallsyms]          [k] unix_inq_len
     0.17%     0.03%  redis-server     [kernel.kallsyms]          [k] enqueue_task_fair
     0.17%     0.00%  swapper          [kernel.kallsyms]          [k] cpuidle_select
     0.17%     0.16%  memtier_benchma  [kernel.kallsyms]          [k] check_stack_object
     0.17%     0.10%  redis-server     [kernel.kallsyms]          [k] obj_cgroup_uncharge_pages
     0.17%     0.00%  redis-server     [kernel.kallsyms]          [k] __x64_sys_epoll_wait
     0.16%     0.10%  memtier_benchma  [kernel.kallsyms]          [k] _copy_from_user
     0.16%     0.08%  swapper          [kernel.kallsyms]          [k] menu_select
     0.16%     0.13%  redis-server     [kernel.kallsyms]          [k] prep_compound_page
     0.16%     0.01%  redis-server     [kernel.kallsyms]          [k] mem_cgroup_swapin_charge_page
     0.16%     0.13%  memtier_benchma  [kernel.kallsyms]          [k] aa_sk_perm
     0.16%     0.00%  swapper          [kernel.kallsyms]          [k] asm_sysvec_apic_timer_interrupt
     0.16%     0.11%  memtier_benchma  [kernel.kallsyms]          [k] __cond_resched
     0.15%     0.05%  kswapd1          [kernel.kallsyms]          [k] _raw_spin_lock
     0.15%     0.00%  swapper          [kernel.kallsyms]          [k] sysvec_apic_timer_interrupt
     0.15%     0.06%  memtier_benchma  [kernel.kallsyms]          [k] security_socket_recvmsg
     0.15%     0.14%  redis-server     [kernel.kallsyms]          [k] slab_free_freelist_hook.constprop.0
     0.15%     0.01%  kswapd1          [kernel.kallsyms]          [k] free_unref_page_list
     0.15%     0.00%  redis-server     [kernel.kallsyms]          [k] charge_memcg
     0.15%     0.14%  memtier_benchma  [kernel.kallsyms]          [k] skb_set_owner_w
     0.14%     0.13%  memtier_benchma  [kernel.kallsyms]          [k] entry_SYSCALL_64_safe_stack
     0.14%     0.00%  memtier_benchma  [kernel.kallsyms]          [k] asm_sysvec_apic_timer_interrupt
     0.14%     0.03%  redis-server     [kernel.kallsyms]          [k] zram_slot_free_notify
     0.14%     0.03%  redis-server     [kernel.kallsyms]          [k] __fget_light
     0.14%     0.00%  kswapd1          [kernel.kallsyms]          [k] free_unref_page_commit.constprop.0
     0.14%     0.00%  kswapd1          [kernel.kallsyms]          [k] lzogeneric1x_1_compress
     0.14%     0.03%  redis-server     [kernel.kallsyms]          [k] do_epoll_wait
     0.14%     0.05%  memtier_benchma  [kernel.kallsyms]          [k] security_socket_sendmsg
     0.14%     0.14%  redis-server     [kernel.kallsyms]          [k] psi_group_change
     0.13%     0.01%  kswapd1          [kernel.kallsyms]          [k] free_pcppages_bulk
     0.13%     0.01%  redis-server     [kernel.kallsyms]          [k] skb_unlink
     0.13%     0.04%  redis-server     [kernel.kallsyms]          [k] enqueue_entity
     0.13%     0.00%  redis-server     [kernel.kallsyms]          [k] alloc_pages_vma
     0.13%     0.13%  memtier_benchma  [kernel.kallsyms]          [k] __ksize
     0.13%     0.13%  kswapd1          [kernel.kallsyms]          [k] lzo1x_1_do_compress
