# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 376  of event 'cycles'
# Event count (approx.): 697111396867
#
# Children      Self  Command          Shared Object      Symbol                                   
# ........  ........  ...............  .................  .........................................
#
     0.03%     0.01%  postgres         [kernel.kallsyms]  [k] __d_lookup_rcu
     0.03%     0.00%  postgres         [kernel.kallsyms]  [k] lookup_fast
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] event_function
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] __x64_sys_ioctl
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] _perf_event_enable
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] _perf_ioctl
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] do_syscall_64
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] event_function_call
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] generic_exec_single
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] perf_event_for_each_child
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] perf_ioctl
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] remote_function
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] smp_call_function_single
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] ctx_resched
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] __perf_event_enable
     0.03%     0.03%  postgres         [unknown]          [.] 0000000000000000
     0.03%     0.03%  tclsh8.6         [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_futex
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] _raw_spin_lock
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_futex
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_syscall_64
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] x86_pmu_enable
     0.03%     0.00%  perf             [kernel.kallsyms]  [k] native_write_msr
     0.03%     0.03%  tclsh8.6         [kernel.kallsyms]  [k] task_numa_find_cpu
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] task_numa_fault
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] task_numa_migrate.isra.0
     0.03%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] futex_wake
     0.03%     0.01%  postgres         [kernel.kallsyms]  [k] security_inode_getattr
     0.02%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_file_getattr
     0.02%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_getattr_nosec
     0.02%     0.00%  swapper          [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.02%     0.00%  swapper          [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.02%     0.00%  swapper          [kernel.kallsyms]  [k] __softirqentry_text_start
     0.02%     0.00%  swapper          [kernel.kallsyms]  [k] irq_exit_rcu
     0.02%     0.00%  swapper          [kernel.kallsyms]  [k] run_rebalance_domains
     0.02%     0.02%  swapper          [kernel.kallsyms]  [k] get_next_freq
     0.02%     0.00%  swapper          [kernel.kallsyms]  [k] update_blocked_averages
     0.01%     0.01%  postgres         [kernel.kallsyms]  [k] step_into
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] link_path_walk.part.0
     0.01%     0.01%  postgres         [kernel.kallsyms]  [k] map_id_range_down
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] apparmor_inode_getattr
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] common_perm_cond
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] make_kuid
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_misplaced_page
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_pages
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_getattr
     0.01%     0.01%  postgres         [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.01%     0.00%  postgres         [kernel.kallsyms]  [k] asm_sysvec_call_function_single
     0.01%     0.01%  perf             [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] clear_page_erms
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __alloc_pages
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] get_page_from_freelist
     0.01%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] __mod_node_page_state
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_page_add_anon_rmap
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] page_add_anon_rmap
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] remove_migration_pte
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] rmap_walk
     0.01%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] rmap_walk_anon
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] nmi_restore
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] futex_wait
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] futex_wait_setup
     0.00%     0.00%  jbd2/nvme0n1p3-  [unknown]          [.] 0000000000000000
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] acpi_os_read_memory
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] native_sched_clock
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] bmap
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] ext4_bmap
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] ext4_ext_map_blocks
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] ext4_find_extent
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] ext4_iomap_begin
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] ext4_map_blocks
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] iomap_bmap
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] iomap_iter
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] jbd2_journal_bmap
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] jbd2_journal_commit_transaction
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] jbd2_journal_next_log_block
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] kjournald2
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] kthread
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] ret_from_fork
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] memcpy_fromio
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] ghes_copy_tofrom_phys
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] irqentry_nmi_exit
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] set_pte_vaddr_p4d
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] ghes_notify_nmi
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] rcu_nmi_exit
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] native_set_fixmap
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] _raw_spin_lock
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] _nohz_idle_balance.constprop.0.isra.0
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] nohz_run_idle_balance
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] rebalance_domains
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] enqueue_task_fair
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] __run_timers.part.0
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] call_timer_fn
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] enqueue_task
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] process_timeout
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] run_timer_softirq
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] try_to_wake_up
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] ttwu_do_activate
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] wake_up_process
     0.00%     0.00%  jbd2/nvme0n1p3-  [kernel.kallsyms]  [k] __switch_to
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] __x86_indirect_thunk_rax
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] rcu_note_context_switch
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] __schedule
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] rcu_qs
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] schedule_idle
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] find_busiest_group
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] load_balance
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] menu_reflect
     0.00%     0.00%  python3          [kernel.kallsyms]  [k] __set_task_blocked
     0.00%     0.00%  python3          [kernel.kallsyms]  [k] __x64_sys_rt_sigreturn
     0.00%     0.00%  python3          [kernel.kallsyms]  [k] do_syscall_64
     0.00%     0.00%  python3          [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  python3          [kernel.kallsyms]  [k] set_current_blocked
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] tick_sched_handle
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] tick_sched_timer
     0.00%     0.00%  swapper          [kernel.kallsyms]  [k] update_process_times
     0.00%     0.00%  perf             [unknown]          [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
