# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 740685313110
#
# Children      Self  Command     Shared Object      Symbol                                        
# ........  ........  ..........  .................  ..............................................
#
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __handle_mm_fault
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] migrate_misplaced_page
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] migrate_pages
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] try_to_migrate_one
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] rmap_walk
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] rmap_walk_anon
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] try_to_migrate
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] set_next_buddy
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] dequeue_task
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] enqueue_entity
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __sysvec_call_function_single
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] asm_sysvec_call_function_single
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] enqueue_task
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] enqueue_task_fair
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] sched_ttwu_pending
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] sysvec_call_function_single
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] ttwu_do_activate
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __ptep_modify_prot_start
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] change_prot_numa
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] irqentry_exit
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] task_numa_work
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] task_work_run
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] memcpy_fromio
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] ghes_copy_tofrom_phys
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] set_pte_vaddr
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] exc_nmi
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] nmi_restore
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] ghes_notify_nmi
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] tick_sched_handle
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] native_set_fixmap
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] fill_pmd
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] futex_wake
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] __softirqentry_text_start
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] run_rebalance_domains
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] _raw_spin_lock
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] fill_pud
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] tick_sched_timer
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] update_process_times
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] perf_sample_event_took
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] ktime_get
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] irq_enter_rcu
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] tick_irq_enter
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] __msecs_to_jiffies
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] llist_add_batch
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] try_to_wake_up
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] ttwu_queue_wakelist
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] wake_up_q
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] sugov_get_util
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] sugov_update_single_freq
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] update_blocked_averages
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] clockevents_program_event
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] native_write_msr
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] tick_program_event
     0.00%     0.00%  postgres    [unknown]          [.] 0000000000000000
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __do_sys_wait4
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] __x64_sys_wait4
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] do_wait
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] kernel_wait4
     0.00%     0.00%  postgres    [kernel.kallsyms]  [k] wait_consider_task
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] propagate_protected_usage
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __mem_cgroup_uncharge
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __put_page
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] page_counter_cancel
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] page_counter_uncharge
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] uncharge_batch
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] native_apic_msr_write
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] nmi_cpu_backtrace
     0.00%     0.00%  perf        [unknown]          [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
