# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 649K of event 'cycles'
# Event count (approx.): 23925621748801
#
# Children      Self  Command          Shared Object          Symbol                                                                
# ........  ........  ...............  .....................  ......................................................................
#
     9.75%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_write
     9.54%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] sock_write_iter
     9.48%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] sock_sendmsg
     9.42%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_sendmsg
     8.56%     0.02%  swapper          [kernel.kallsyms]      [k] cpuidle_enter
     8.53%     0.13%  swapper          [kernel.kallsyms]      [k] cpuidle_enter_state
     7.97%     0.03%  memcached        [kernel.kallsyms]      [k] skb_copy_datagram_from_iter
     7.80%     0.09%  memcached        [kernel.kallsyms]      [k] _copy_from_iter
     7.77%     1.68%  memcached        [kernel.kallsyms]      [k] copy_user_generic_string
     6.69%     0.15%  swapper          [kernel.kallsyms]      [k] acpi_idle_enter
     6.54%     0.00%  memcached        [kernel.kallsyms]      [k] on_each_cpu_cond_mask
     6.54%     3.01%  memcached        [kernel.kallsyms]      [k] smp_call_function_many_cond
     6.43%     6.43%  swapper          [kernel.kallsyms]      [k] mwait_idle_with_hints
     6.38%     0.04%  memcached        [kernel.kallsyms]      [k] zram_rw_page
     6.20%     0.16%  memcached        [kernel.kallsyms]      [k] zram_bvec_rw.constprop.0
     5.46%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] sock_alloc_send_pskb
     5.40%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] alloc_skb_with_frags
     5.37%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_skb
     5.13%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] do_readv
     5.02%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] vfs_readv
     4.99%     1.16%  memcached        [kernel.kallsyms]      [k] asm_sysvec_call_function
     4.90%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] do_iter_read
     4.68%     0.00%  memcached        [kernel.kallsyms]      [k] try_to_unmap_flush_dirty
     4.68%     0.01%  memcached        [kernel.kallsyms]      [k] arch_tlbbatch_flush
     4.67%     0.24%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_alloc_node
     4.67%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] sock_read_iter
     4.57%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_recvmsg
     4.54%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_generic
     4.51%     0.00%  kswapd0          [kernel.kallsyms]      [k] kswapd
     4.51%     0.00%  kswapd0          [kernel.kallsyms]      [k] kthread
     4.51%     0.00%  kswapd0          [kernel.kallsyms]      [k] ret_from_fork
     4.51%     0.00%  kswapd0          [kernel.kallsyms]      [k] balance_pgdat
     4.51%     0.02%  memcached        [kernel.kallsyms]      [k] sock_alloc_send_pskb
     4.44%     0.03%  memcached        [kernel.kallsyms]      [k] alloc_skb_with_frags
     4.42%     0.00%  kswapd0          [kernel.kallsyms]      [k] shrink_node
     4.42%     0.00%  kswapd0          [kernel.kallsyms]      [k] shrink_node_memcgs
     4.41%     0.08%  memcached        [kernel.kallsyms]      [k] __alloc_skb
     4.39%     0.00%  kswapd0          [kernel.kallsyms]      [k] lru_gen_shrink_lruvec
     4.38%     0.00%  kswapd0          [kernel.kallsyms]      [k] evict_pages
     4.30%     0.02%  memcached        [kernel.kallsyms]      [k] swap_readpage
     4.28%     0.03%  memcached        [kernel.kallsyms]      [k] wp_page_copy
     4.27%     0.08%  memcached        [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     4.26%     0.02%  kswapd0          [kernel.kallsyms]      [k] shrink_page_list
     4.20%     0.07%  memcached        [kernel.kallsyms]      [k] do_epoll_wait
     4.19%     0.04%  memcached        [kernel.kallsyms]      [k] bdev_read_page
     4.11%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge
     4.07%     0.06%  swapper          [kernel.kallsyms]      [k] schedule_idle
     4.06%     0.14%  memcached        [kernel.kallsyms]      [k] __wake_up_common_lock
     4.00%     0.10%  memcached        [kernel.kallsyms]      [k] ep_poll
     3.99%     0.39%  swapper          [kernel.kallsyms]      [k] __schedule
     3.93%     0.07%  memcached        [kernel.kallsyms]      [k] __zram_bvec_read.constprop.0
     3.93%     0.06%  memcached        [kernel.kallsyms]      [k] sock_def_readable
     3.81%     0.04%  memcached        [kernel.kallsyms]      [k] sysvec_call_function
     3.66%     0.04%  memcached        [kernel.kallsyms]      [k] ksys_read
     3.60%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     3.53%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] do_epoll_wait
     3.51%     0.17%  memcached        [kernel.kallsyms]      [k] __wake_up_common
     3.49%     0.12%  memcached        [kernel.kallsyms]      [k] vfs_read
     3.44%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_common_lock
     3.43%     0.31%  memcached        [kernel.kallsyms]      [k] ep_poll_callback
     3.42%     0.86%  memcached        [kernel.kallsyms]      [k] flush_smp_call_function_queue
     3.41%     0.01%  memcached        [kernel.kallsyms]      [k] zcomp_decompress
     3.40%     0.02%  memcached        [kernel.kallsyms]      [k] __sysvec_call_function
     3.39%     0.02%  memcached        [kernel.kallsyms]      [k] lzorle_decompress
     3.37%     3.04%  memcached        [kernel.kallsyms]      [k] lzo1x_decompress_safe
     3.35%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] ep_poll
     3.35%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] sock_def_readable
     3.30%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] consume_skb
     3.29%     0.05%  memcached        [kernel.kallsyms]      [k] new_sync_read
     3.28%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_common
     3.23%     0.05%  memcached        [kernel.kallsyms]      [k] sock_read_iter
     3.22%     0.20%  memtier_benchma  [kernel.kallsyms]      [k] ep_poll_callback
     3.16%     0.03%  memcached        [kernel.kallsyms]      [k] unix_stream_recvmsg
     3.13%     0.09%  memcached        [kernel.kallsyms]      [k] unix_stream_read_generic
     3.00%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] skb_release_data
     2.96%     0.43%  memtier_benchma  [kernel.kallsyms]      [k] kfree
     2.94%     0.07%  memcached        [kernel.kallsyms]      [k] schedule
     2.94%     0.04%  memcached        [kernel.kallsyms]      [k] schedule_hrtimeout_range_clock
     2.86%     0.63%  memcached        [kernel.kallsyms]      [k] __schedule
     2.83%     0.05%  memcached        [kernel.kallsyms]      [k] autoremove_wake_function
     2.79%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge_pages
     2.79%     0.12%  memcached        [kernel.kallsyms]      [k] try_to_wake_up
     2.77%     0.30%  memcached        [kernel.kallsyms]      [k] kmem_cache_alloc_node
     2.77%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] autoremove_wake_function
     2.76%     0.51%  memtier_benchma  [kernel.kallsyms]      [k] try_charge_memcg
     2.72%     2.50%  memcached        [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath.part.0
     2.71%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] try_to_wake_up
     2.68%     0.03%  memcached        [kernel.kallsyms]      [k] obj_cgroup_charge
     2.64%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] refill_stock
     2.55%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] drain_stock
     2.53%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_uncharge
     2.52%     0.01%  memcached        [kernel.kallsyms]      [k] ptep_clear_flush
     2.52%     0.02%  memcached        [kernel.kallsyms]      [k] pageout
     2.52%     0.06%  memcached        [kernel.kallsyms]      [k] flush_tlb_mm_range
     2.42%     0.79%  memcached        [kernel.kallsyms]      [k] refill_obj_stock
     2.33%     0.00%  memcached        [kernel.kallsyms]      [k] __swap_writepage
     2.32%     0.01%  memcached        [kernel.kallsyms]      [k] bdev_write_page
     2.28%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] schedule_hrtimeout_range_clock
     2.25%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] schedule
     2.23%     0.02%  memcached        [kernel.kallsyms]      [k] consume_skb
     2.19%     0.35%  memtier_benchma  [kernel.kallsyms]      [k] __schedule
     2.17%     0.00%  kswapd0          [kernel.kallsyms]      [k] try_to_unmap_flush_dirty
     2.17%     0.01%  kswapd0          [kernel.kallsyms]      [k] arch_tlbbatch_flush
     2.16%     0.74%  memtier_benchma  [kernel.kallsyms]      [k] refill_obj_stock
     2.07%     0.21%  memcached        [kernel.kallsyms]      [k] __zram_bvec_write.constprop.0.isra.0
     2.06%     0.38%  memcached        [kernel.kallsyms]      [k] _raw_spin_lock
     1.98%     1.97%  memtier_benchma  [kernel.kallsyms]      [k] propagate_protected_usage
     1.90%     0.00%  kswapd0          [kernel.kallsyms]      [k] on_each_cpu_cond_mask
     1.90%     0.88%  kswapd0          [kernel.kallsyms]      [k] smp_call_function_many_cond
     1.89%     0.07%  memcached        [kernel.kallsyms]      [k] skb_release_data
     1.82%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_uncharge_pages
     1.78%     0.32%  memcached        [kernel.kallsyms]      [k] kfree
     1.77%     0.03%  memcached        [kernel.kallsyms]      [k] rmap_walk_anon
     1.66%     0.36%  swapper          [kernel.kallsyms]      [k] menu_select
     1.56%     0.88%  memcached        [kernel.kallsyms]      [k] drain_obj_stock
     1.54%     1.20%  swapper          [kernel.kallsyms]      [k] switch_mm_irqs_off
     1.54%     1.19%  memcached        [kernel.kallsyms]      [k] flush_tlb_func
     1.44%     0.02%  memcached        [kernel.kallsyms]      [k] kmalloc_reserve
     1.41%     0.37%  memcached        [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     1.41%     1.16%  memtier_benchma  [kernel.kallsyms]      [k] drain_obj_stock
     1.40%     0.05%  memcached        [kernel.kallsyms]      [k] default_send_IPI_mask_sequence_phys
     1.34%     0.00%  memcached        [kernel.kallsyms]      [k] page_check_references.isra.0
     1.33%     0.00%  memcached        [kernel.kallsyms]      [k] page_referenced
     1.32%     0.36%  memcached        [kernel.kallsyms]      [k] try_charge_memcg
     1.32%     1.32%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_cancel
     1.32%     0.52%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_try_charge
     1.28%     0.08%  memcached        [kernel.kallsyms]      [k] obj_cgroup_charge_pages
     1.20%     0.01%  memcached        [kernel.kallsyms]      [k] page_referenced_one
     1.18%     0.04%  memcached        [kernel.kallsyms]      [k] ttwu_do_activate
     1.16%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] ttwu_do_activate
     1.15%     1.15%  memcached        [kernel.kallsyms]      [k] llist_reverse_order
     1.14%     0.31%  memcached        [kernel.kallsyms]      [k] enqueue_task_fair
     1.14%     1.14%  memcached        [kernel.kallsyms]      [k] __default_send_IPI_dest_field
     1.13%     0.18%  swapper          [kernel.kallsyms]      [k] asm_sysvec_call_function
     1.12%     0.84%  memcached        [kernel.kallsyms]      [k] llist_add_batch
     1.12%     0.33%  memtier_benchma  [kernel.kallsyms]      [k] enqueue_task_fair
     1.10%     0.00%  memcached        [kernel.kallsyms]      [k] __swap_entry_free
     1.04%     0.04%  memcached        [kernel.kallsyms]      [k] free_swap_slot
     1.01%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] syscall_exit_to_user_mode
     0.99%     0.01%  kswapd0          [kernel.kallsyms]      [k] pageout
     0.99%     0.01%  memcached        [kernel.kallsyms]      [k] swapcache_free_entries
     0.98%     0.02%  memcached        [kernel.kallsyms]      [k] page_counter_uncharge
     0.96%     0.05%  memcached        [kernel.kallsyms]      [k] refill_stock
     0.95%     0.19%  memtier_benchma  [kernel.kallsyms]      [k] ep_send_events
     0.94%     0.01%  swapper          [kernel.kallsyms]      [k] sysvec_call_function
     0.94%     0.12%  memcached        [kernel.kallsyms]      [k] lru_gen_scan_around
     0.94%     0.14%  memcached        [kernel.kallsyms]      [k] ep_send_events
     0.92%     0.00%  kswapd0          [kernel.kallsyms]      [k] __swap_writepage
     0.92%     0.01%  kswapd0          [kernel.kallsyms]      [k] bdev_write_page
     0.91%     0.41%  memcached        [kernel.kallsyms]      [k] obj_cgroup_uncharge_pages
     0.91%     0.01%  memcached        [kernel.kallsyms]      [k] lzorle_compress
     0.90%     0.01%  memcached        [kernel.kallsyms]      [k] lzogeneric1x_1_compress
     0.87%     0.01%  kswapd0          [kernel.kallsyms]      [k] zram_rw_page
     0.84%     0.03%  memcached        [kernel.kallsyms]      [k] _raw_spin_lock_irq
     0.83%     0.03%  kswapd0          [kernel.kallsyms]      [k] zram_bvec_rw.constprop.0
     0.82%     0.01%  memcached        [kernel.kallsyms]      [k] drain_stock
     0.82%     0.56%  memcached        [kernel.kallsyms]      [k] finish_task_switch.isra.0
     0.82%     0.30%  memcached        [kernel.kallsyms]      [k] enqueue_entity
     0.81%     0.09%  swapper          [kernel.kallsyms]      [k] pick_next_task_fair
     0.81%     0.05%  memcached        [kernel.kallsyms]      [k] syscall_exit_to_user_mode
     0.80%     0.11%  kswapd0          [kernel.kallsyms]      [k] __zram_bvec_write.constprop.0.isra.0
     0.79%     0.31%  memtier_benchma  [kernel.kallsyms]      [k] enqueue_entity
     0.79%     0.79%  memcached        libpthread-2.28.so     [.] __pthread_mutex_lock
     0.75%     0.50%  memtier_benchma  [kernel.kallsyms]      [k] finish_task_switch.isra.0
     0.75%     0.01%  memcached        [kernel.kallsyms]      [k] zs_malloc
     0.73%     0.17%  swapper          [kernel.kallsyms]      [k] flush_smp_call_function_queue
     0.72%     0.00%  swapper          [kernel.kallsyms]      [k] __sysvec_call_function
     0.72%     0.53%  memcached        [kernel.kallsyms]      [k] lzo1x_1_do_compress
     0.72%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] syscall_exit_work
     0.70%     0.02%  kswapd0          [kernel.kallsyms]      [k] default_send_IPI_mask_sequence_phys
     0.69%     0.69%  memtier_benchma  libevent-2.1.so.6.0.2  [.] event_mm_free_
     0.67%     0.67%  kswapd0          [kernel.kallsyms]      [k] __default_send_IPI_dest_field
     0.66%     0.66%  swapper          [kernel.kallsyms]      [k] __switch_to_asm
     0.62%     0.00%  memcached        [kernel.kallsyms]      [k] add_to_swap
     0.62%     0.32%  memcached        [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.62%     0.20%  memcached        [kernel.kallsyms]      [k] select_task_rq_fair
     0.61%     0.34%  memtier_benchma  [kernel.kallsyms]      [k] __audit_syscall_exit
     0.61%     0.59%  memcached        [kernel.kallsyms]      [k] page_counter_cancel
     0.61%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] dequeue_task_fair
     0.60%     0.06%  memcached        [kernel.kallsyms]      [k] dequeue_task_fair
     0.59%     0.21%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_free
     0.59%     0.12%  swapper          [kernel.kallsyms]      [k] finish_task_switch.isra.0
     0.58%     0.09%  swapper          [kernel.kallsyms]      [k] tick_nohz_idle_enter
     0.57%     0.38%  memcached        [kernel.kallsyms]      [k] native_flush_tlb_multi
     0.55%     0.01%  kswapd0          [kernel.kallsyms]      [k] rmap_walk_anon
     0.55%     0.10%  memcached        [kernel.kallsyms]      [k] syscall_exit_work
     0.54%     0.40%  memcached        [kernel.kallsyms]      [k] page_counter_try_charge
     0.53%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] dequeue_entity
     0.53%     0.09%  swapper          [kernel.kallsyms]      [k] tick_nohz_get_sleep_length
     0.53%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] kmalloc_reserve
     0.52%     0.06%  memcached        [kernel.kallsyms]      [k] dequeue_entity
     0.51%     0.17%  memtier_benchma  [kernel.kallsyms]      [k] select_task_rq_fair
     0.51%     0.19%  swapper          [kernel.kallsyms]      [k] set_next_entity
     0.51%     0.34%  memcached        [kernel.kallsyms]      [k] kmem_cache_free
     0.51%     0.26%  memtier_benchma  [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     0.50%     0.26%  swapper          [kernel.kallsyms]      [k] ktime_get
     0.49%     0.30%  swapper          [kernel.kallsyms]      [k] __switch_to
     0.49%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_ctl
     0.47%     0.46%  memtier_benchma  [kernel.kallsyms]      [k] copy_user_generic_string
     0.47%     0.01%  swapper          [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     0.46%     0.46%  memtier_benchma  [kernel.kallsyms]      [k] get_obj_cgroup_from_current
     0.46%     0.00%  swapper          [kernel.kallsyms]      [k] start_kernel
     0.46%     0.00%  kswapd0          [kernel.kallsyms]      [k] lzorle_compress
     0.46%     0.00%  memcached        [kernel.kallsyms]      [k] try_to_unmap
     0.46%     0.02%  kswapd0          [kernel.kallsyms]      [k] lzogeneric1x_1_compress
     0.45%     0.00%  swapper          [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.45%     0.26%  memcached        [kernel.kallsyms]      [k] update_load_avg
     0.45%     0.34%  swapper          [kernel.kallsyms]      [k] poll_idle
     0.45%     0.26%  memcached        [kernel.kallsyms]      [k] __audit_syscall_exit
     0.44%     0.05%  memcached        [kernel.kallsyms]      [k] get_swap_page
     0.44%     0.22%  memcached        [kernel.kallsyms]      [k] __switch_to
     0.43%     0.43%  memcached        [kernel.kallsyms]      [k] propagate_protected_usage
     0.43%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_actor
     0.43%     0.34%  memcached        [kernel.kallsyms]      [k] zs_map_object
     0.42%     0.22%  memtier_benchma  [kernel.kallsyms]      [k] update_load_avg
     0.42%     0.02%  memcached        [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     0.41%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] skb_copy_datagram_iter
     0.41%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_ioctl
     0.41%     0.03%  memcached        [kernel.kallsyms]      [k] swap_range_free
     0.41%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] __skb_datagram_iter
     0.40%     0.00%  memcached        [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.39%     0.16%  memcached        [kernel.kallsyms]      [k] try_to_unmap_one
     0.38%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] ep_item_poll.isra.0
     0.38%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] ttwu_do_wakeup
     0.37%     0.37%  memcached        memcached              [.] 0x000000000001d9bd
     0.37%     0.05%  memcached        [kernel.kallsyms]      [k] zram_slot_free_notify
     0.37%     0.03%  memcached        [kernel.kallsyms]      [k] lru_cache_add
     0.37%     0.31%  memcached        [kernel.kallsyms]      [k] get_obj_cgroup_from_current
     0.37%     0.07%  memcached        [kernel.kallsyms]      [k] ttwu_do_wakeup
     0.37%     0.11%  memcached        [kernel.kallsyms]      [k] ep_item_poll.isra.0
     0.37%     0.36%  kswapd0          [kernel.kallsyms]      [k] lzo1x_1_do_compress
     0.36%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] do_epoll_ctl
     0.35%     0.02%  memcached        [kernel.kallsyms]      [k] __pagevec_lru_add
     0.35%     0.00%  memcached        [kernel.kallsyms]      [k] __sysvec_apic_timer_interrupt
     0.35%     0.02%  swapper          [kernel.kallsyms]      [k] sched_clock_cpu
     0.35%     0.00%  memcached        [kernel.kallsyms]      [k] hrtimer_interrupt
     0.34%     0.02%  memcached        [kernel.kallsyms]      [k] mem_cgroup_swapin_charge_page
     0.34%     0.02%  memcached        [kernel.kallsyms]      [k] handle_pte_fault
     0.34%     0.33%  memcached        [kernel.kallsyms]      [k] __list_del_entry_valid
     0.33%     0.00%  kswapd0          [kernel.kallsyms]      [k] page_check_references.isra.0
     0.33%     0.13%  memcached        [kernel.kallsyms]      [k] __mod_memcg_lruvec_state
     0.33%     0.00%  kswapd0          [kernel.kallsyms]      [k] page_referenced
     0.33%     0.00%  swapper          [kernel.kallsyms]      [k] __sysvec_apic_timer_interrupt
     0.32%     0.01%  swapper          [kernel.kallsyms]      [k] hrtimer_interrupt
     0.32%     0.22%  memtier_benchma  [kernel.kallsyms]      [k] mod_objcg_state
     0.32%     0.32%  swapper          [kernel.kallsyms]      [k] native_sched_clock
     0.32%     0.01%  memcached        [kernel.kallsyms]      [k] skb_release_head_state
     0.32%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] check_preempt_curr
     0.32%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] sock_poll
     0.32%     0.00%  memcached        [kernel.kallsyms]      [k] __hrtimer_run_queues
     0.32%     0.00%  memcached        [kernel.kallsyms]      [k] __run_hrtimer
     0.32%     0.03%  memcached        [kernel.kallsyms]      [k] zram_free_page
     0.31%     0.14%  memcached        [kernel.kallsyms]      [k] page_vma_mapped_walk
     0.31%     0.00%  kswapd0          [kernel.kallsyms]      [k] add_to_swap
     0.31%     0.00%  memcached        [kernel.kallsyms]      [k] lock_page_lruvec_irqsave
     0.31%     0.31%  swapper          [kernel.kallsyms]      [k] get_typical_interval
     0.31%     0.02%  memcached        [kernel.kallsyms]      [k] unix_destruct_scm
     0.31%     0.00%  memcached        [kernel.kallsyms]      [k] tick_sched_timer
     0.30%     0.30%  memcached        [kernel.kallsyms]      [k] native_flush_tlb_local
     0.30%     0.06%  memcached        [kernel.kallsyms]      [k] check_preempt_curr
     0.30%     0.30%  swapper          [kernel.kallsyms]      [k] load_new_mm_cr3
     0.30%     0.02%  memcached        [kernel.kallsyms]      [k] mem_cgroup_try_charge_swap
     0.29%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] __fget_light
     0.28%     0.01%  kswapd0          [kernel.kallsyms]      [k] page_referenced_one
     0.28%     0.14%  memcached        [kernel.kallsyms]      [k] mod_objcg_state
     0.28%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] skb_release_head_state
     0.28%     0.00%  swapper          [kernel.kallsyms]      [k] __hrtimer_run_queues
     0.28%     0.00%  memcached        [kernel.kallsyms]      [k] tick_sched_handle
     0.28%     0.13%  swapper          [kernel.kallsyms]      [k] update_load_avg
     0.28%     0.01%  memcached        [kernel.kallsyms]      [k] update_process_times
     0.28%     0.09%  swapper          [kernel.kallsyms]      [k] tick_nohz_next_event
     0.28%     0.00%  swapper          [kernel.kallsyms]      [k] __run_hrtimer
     0.28%     0.04%  memcached        [kernel.kallsyms]      [k] sock_wfree
     0.28%     0.07%  memcached        [kernel.kallsyms]      [k] irqtime_account_irq
     0.28%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] __check_object_size.part.0
     0.28%     0.28%  memcached        [kernel.kallsyms]      [k] update_cfs_group
     0.27%     0.06%  memcached        [kernel.kallsyms]      [k] get_page_from_freelist
     0.27%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] skb_copy_datagram_from_iter
     0.27%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] unix_destruct_scm
     0.27%     0.02%  memcached        [kernel.kallsyms]      [k] sched_clock_cpu
     0.27%     0.00%  swapper          [kernel.kallsyms]      [k] tick_sched_timer
     0.27%     0.24%  kswapd0          [kernel.kallsyms]      [k] native_flush_tlb_multi
     0.26%     0.19%  memcached        [kernel.kallsyms]      [k] xas_load
     0.26%     0.00%  memcached        [kernel.kallsyms]      [k] mem_cgroup_uncharge_swap
     0.26%     0.01%  memcached        [kernel.kallsyms]      [k] __remove_mapping
     0.26%     0.26%  memcached        libc-2.28.so           [.] epoll_wait
     0.26%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] do_vfs_ioctl
     0.26%     0.04%  memcached        [kernel.kallsyms]      [k] __irq_exit_rcu
     0.26%     0.25%  kswapd0          [kernel.kallsyms]      [k] llist_add_batch
     0.25%     0.12%  memcached        [kernel.kallsyms]      [k] sock_poll
     0.25%     0.25%  memtier_benchma  [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.25%     0.05%  memcached        [kernel.kallsyms]      [k] select_idle_sibling
     0.25%     0.25%  memtier_benchma  [kernel.kallsyms]      [k] update_cfs_group
     0.25%     0.25%  memcached        [kernel.kallsyms]      [k] native_sched_clock
     0.25%     0.18%  memcached        [kernel.kallsyms]      [k] obj_malloc
     0.25%     0.22%  memcached        [kernel.kallsyms]      [k] _find_next_bit
     0.24%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] update_curr
     0.24%     0.00%  swapper          [kernel.kallsyms]      [k] tick_sched_handle
     0.24%     0.24%  memcached        memcached              [.] 0x000000000001d9ad
     0.24%     0.01%  swapper          [kernel.kallsyms]      [k] update_process_times
