# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 6099289334419
#
# Children      Self  Command          Shared Object             Symbol                                                                                                                                                                           
# ........  ........  ...............  ........................  .................................................................................................................................................................................
#
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000982ed5
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] cpuacct_charge
     0.00%     0.00%  kworker/15:0     [kernel.kallsyms]         [k] ext4_do_update_inode.isra.0
     0.00%     0.00%  kworker/15:0     [kernel.kallsyms]         [k] __ext4_mark_inode_dirty
     0.00%     0.00%  kworker/15:0     [kernel.kallsyms]         [k] ext4_mark_iloc_dirty
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d57a11
     0.00%     0.00%  kworker/u64:35-  [kernel.kallsyms]         [k] ext4_writepages
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] __finish_swait
     0.00%     0.00%  kworker/18:1-mm  [kernel.kallsyms]         [k] native_queued_spin_lock_slowpath.part.0
     0.00%     0.00%  kworker/18:1-mm  [kernel.kallsyms]         [k] _raw_spin_lock
     0.00%     0.00%  kworker/u64:37-  [kernel.kallsyms]         [k] wb_check_start_all
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.00%     0.00%  tclsh8.6         libtcl8.6.so              [.] GrowEvaluationStack.isra.1
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d72eb3
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] llist_add_batch
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] __smp_call_single_queue
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d066df
     0.00%     0.00%  tclsh8.6         libtcl8.6.so              [.] Tcl_EventuallyFree
     0.00%     0.00%  kworker/5:0      [kernel.kallsyms]         [k] update_cfs_group
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c8e6f9
     0.00%     0.00%  kworker/25:1-mm  [kernel.kallsyms]         [k] ext4_ext_try_to_merge
     0.00%     0.00%  kworker/25:1-mm  [kernel.kallsyms]         [k] ext4_convert_unwritten_extents_endio
     0.00%     0.00%  kworker/8:1-eve  [kernel.kallsyms]         [k] cpuacct_charge
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x00000000000207f6
     0.00%     0.00%  kworker/13:3-ev  [kernel.kallsyms]         [k] update_rq_clock
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d2df61
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c51791
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] __hrtimer_run_queues
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] __run_hrtimer
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] amd_pmu_disable_all
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] perf_adjust_freq_unthr_context
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] perf_event_task_tick
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] scheduler_tick
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] tick_sched_handle
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] tick_sched_timer
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] update_process_times
     0.00%     0.00%  kworker/dying    [kernel.kallsyms]         [k] exit_notify
     0.00%     0.00%  kworker/dying    [kernel.kallsyms]         [k] release_task
     0.00%     0.00%  top              [kernel.kallsyms]         [k] link_path_walk.part.0
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c3008f
     0.00%     0.00%  kworker/16:1H-k  [kernel.kallsyms]         [k] nvme_queue_rq
     0.00%     0.00%  kworker/16:1H-k  [kernel.kallsyms]         [k] blk_mq_dispatch_rq_list
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da19c3
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZNK14Item_case_expr9this_itemEv
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d77d0a
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN10Item_field19create_tmp_field_exEP11st_mem_rootP5TABLEP13Tmp_field_srcPK15Tmp_field_param
     0.00%     0.00%  kworker/30:1H-k  [kernel.kallsyms]         [k] update_curr
     0.00%     0.00%  kworker/30:1H-k  [kernel.kallsyms]         [k] dequeue_entity
     0.00%     0.00%  kworker/30:1H-k  [kernel.kallsyms]         [k] dequeue_task_fair
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x0000000000021090
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca6f17
     0.00%     0.00%  tclsh8.6         libtcl8.6.so              [.] TclpMatchInDirectory
     0.00%     0.00%  perf             [kernel.kallsyms]         [k] get_mem_cgroup_from_mm
     0.00%     0.00%  perf             [kernel.kallsyms]         [k] mem_cgroup_charge
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9da27
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x00000000007b9a4f
     0.00%     0.00%  kworker/19:0     [kernel.kallsyms]         [k] send_call_function_single_ipi
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]         [k] enqueue_entity
     0.00%     0.00%  kworker/24:2-mm  [kernel.kallsyms]         [k] __update_load_avg_se
     0.00%     0.00%  kworker/15:2-ev  [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d71c13
     0.00%     0.00%  jbd2/nvme3n1p4-  [kernel.kallsyms]         [k] prepare_to_wait
     0.00%     0.00%  sshd             [kernel.kallsyms]         [k] ixgbe_tx_ctxtdesc
     0.00%     0.00%  mariadbd         libstdc++.so.6.0.25       [.] 0x00000000000ae182
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000792753
     0.00%     0.00%  kworker/22:2-ev  [kernel.kallsyms]         [k] select_idle_cpu
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d39fd0
     0.00%     0.00%  kworker/22:0     [kernel.kallsyms]         [k] sys_imageblit
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ccd1c3
     0.00%     0.00%  kworker/26:4     [kernel.kallsyms]         [k] set_next_entity
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d7c971
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c80325
     0.00%     0.00%  jbd2/nvme3n1p4-  [kernel.kallsyms]         [k] jbd2_journal_switch_revoke_table
     0.00%     0.00%  kworker/u64:35-  [kernel.kallsyms]         [k] ixgbe_read_reg
     0.00%     0.00%  kworker/u64:35-  [kernel.kallsyms]         [k] ixgbe_service_task
     0.00%     0.00%  kworker/u64:35-  [kernel.kallsyms]         [k] ixgbe_update_stats
     0.00%     0.00%  kworker/u64:35-  [kernel.kallsyms]         [k] ixgbe_watchdog_subtask
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x00000000006b8760
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d5b7e1
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x000000000001b338
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] __common_interrupt
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] __handle_irq_event_percpu
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] handle_edge_irq
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] handle_irq_event
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] nvme_irq
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] nvme_process_cq
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] kick_ilb
     0.00%     0.00%  kworker/1:3-eve  [kernel.kallsyms]         [k] update_irq_load_avg
     0.00%     0.00%  kworker/1:3-eve  [kernel.kallsyms]         [k] update_rq_clock_task
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] __x86_indirect_thunk_rdx
     0.00%     0.00%  kworker/11:2-ev  [kernel.kallsyms]         [k] resched_curr
     0.00%     0.00%  kworker/23:1-ev  [kernel.kallsyms]         [k] select_idle_sibling
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d6fb03
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9eeab
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d73437
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] __update_load_avg_se
     0.00%     0.00%  kswapd0          [kernel.kallsyms]         [k] update_load_avg
     0.00%     0.00%  kworker/31:1-mm  [kernel.kallsyms]         [k] __list_del_entry_valid
     0.00%     0.00%  kworker/0:1H-kb  [kernel.kallsyms]         [k] strscpy
     0.00%     0.00%  kworker/0:0      [kernel.kallsyms]         [k] select_task_rq_fair
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c83a0b
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d73503
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]         [k] dequeue_entity
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]         [k] dequeue_task_fair
     0.00%     0.00%  swapper          [kernel.kallsyms]         [k] _raw_spin_lock_irq
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]         [k] update_curr
     0.00%     0.00%  kworker/10:4     [kernel.kallsyms]         [k] update_cfs_group
     0.00%     0.00%  kworker/u64:38-  [kernel.kallsyms]         [k] page_mapping
     0.00%     0.00%  ksoftirqd/28     [kernel.kallsyms]         [k] smpboot_thread_fn
     0.00%     0.00%  ksoftirqd/28     [kernel.kallsyms]         [k] kthread
     0.00%     0.00%  ksoftirqd/28     [kernel.kallsyms]         [k] ret_from_fork
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x0000000000024074
     0.00%     0.00%  kworker/4:1H-kb  [kernel.kallsyms]         [k] flush_busy_ctx
     0.00%     0.00%  kworker/4:1H-kb  [kernel.kallsyms]         [k] blk_mq_flush_busy_ctxs
     0.00%     0.00%  kworker/7:2-eve  [kernel.kallsyms]         [k] check_preempt_curr
     0.00%     0.00%  kworker/7:2-eve  [kernel.kallsyms]         [k] ttwu_do_wakeup
     0.00%     0.00%  kworker/3:1-eve  [kernel.kallsyms]         [k] __list_add_valid
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca77b3
     0.00%     0.00%  kworker/2:2-eve  [kernel.kallsyms]         [k] update_cfs_rq_h_load
     0.00%     0.00%  kworker/13:1H-k  [kernel.kallsyms]         [k] update_curr
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ccc15a
     0.00%     0.00%  kworker/6:1-mm_  [kernel.kallsyms]         [k] cpuacct_charge
     0.00%     0.00%  kworker/26:1-ev  [kernel.kallsyms]         [k] update_cfs_group
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d920c2
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] update_sg_wakeup_stats
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da1e14
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d77544
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d68563
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN13st_select_lex15setup_ref_arrayEP3THDj
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] __napi_schedule_irqoff
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca5cd7
     0.00%     0.00%  mariadbd         mariadbd                  [.] lf_hash_iterate
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9eec2
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x00000000007b992d
     0.00%     0.00%  kworker/15:2-ev  [kernel.kallsyms]         [k] update_irq_load_avg
     0.00%     0.00%  top              [kernel.kallsyms]         [k] _raw_spin_lock
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da175a
     0.00%     0.00%  tclsh8.6         libmariadb.so.3           [.] 0x00000000000254d6
     0.00%     0.00%  ksoftirqd/1      [kernel.kallsyms]         [k] load_balance
     0.00%     0.00%  ksoftirqd/1      [kernel.kallsyms]         [k] rebalance_domains
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN15Field_datetimef8get_dateEP13st_mysql_time11date_mode_t
     0.00%     0.00%  kworker/3:0      [kernel.kallsyms]         [k] llist_add_batch
     0.00%     0.00%  kworker/3:0      [kernel.kallsyms]         [k] __smp_call_single_queue
     0.00%     0.00%  kworker/10:1-ev  [kernel.kallsyms]         [k] aio_complete
     0.00%     0.00%  kworker/9:1-eve  [kernel.kallsyms]         [k] ext4_dio_write_end_io
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d8e3e9
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d85642
     0.00%     0.00%  kworker/0:0      [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c8a024
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d1366c
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d72c32
     0.00%     0.00%  kworker/1:0      [kernel.kallsyms]         [k] strnlen
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN22sp_instr_set_case_expr12get_psi_infoEv
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]         [k] flush_smp_call_function_queue
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]         [k] __sysvec_call_function
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]         [k] asm_sysvec_call_function
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]         [k] sysvec_call_function
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d8fc2f
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cd1aa1
     0.00%     0.00%  kworker/5:0      [kernel.kallsyms]         [k] __list_del_entry_valid
     0.00%     0.00%  kworker/12:1-mm  [kernel.kallsyms]         [k] available_idle_cpu
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da0ac0
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c83495
     0.00%     0.00%  perf             [kernel.kallsyms]         [k] lookup_bh_lru
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca5d64
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d39ca2
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ccd2fa
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ab8204
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] crc_31
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d0ca35
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] bvec_alloc
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] _mix_pool_bytes
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZNK10Sp_handler16sp_cache_routineEP3THDPK23Database_qualified_namebPP7sp_head
     0.00%     0.00%  jbd2/nvme3n1p4-  [kernel.kallsyms]         [k] __jbd2_journal_file_buffer
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] nd_jump_root
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN11sp_rcontext6createEP3THDPK7sp_headPK11sp_pcontextP5FieldR19Row_definition_list
     0.00%     0.00%  mariadbd         mariadbd                  [.] my_hash_search
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN10Item_field7is_nullEv
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9f551
     0.00%     0.00%  kworker/23:1-ev  [kernel.kallsyms]         [k] dequeue_task_fair
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9f82b
     0.00%     0.00%  kworker/31:1-mm  [kernel.kallsyms]         [k] send_call_function_single_ipi
     0.00%     0.00%  sssd_nss         [kernel.kallsyms]         [k] kmem_cache_free
     0.00%     0.00%  sssd_nss         [kernel.kallsyms]         [k] ep_unregister_pollwait.constprop.0
     0.00%     0.00%  kworker/18:1H-k  [kernel.kallsyms]         [k] nvme_map_data
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]         [k] ext4_find_extent
     0.00%     0.00%  mariadbd         [vdso]                    [.] 0x0000000000000845
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d81a6d
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9fbe1
     0.00%     0.00%  kworker/6:2      [kernel.kallsyms]         [k] rb_next
     0.00%     0.00%  kworker/30:2-ev  [kernel.kallsyms]         [k] check_preempt_wakeup
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d4cc01
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] shmem_unused_huge_count
     0.00%     0.00%  kworker/5:1-eve  [kernel.kallsyms]         [k] update_cfs_group
     0.00%     0.00%  kworker/5:1-eve  [kernel.kallsyms]         [k] enqueue_entity
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c832f9
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d77df0
     0.00%     0.00%  kworker/25:1-mm  [kernel.kallsyms]         [k] finish_task_switch.isra.0
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cd017e
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da0434
     0.00%     0.00%  kworker/4:0      [kernel.kallsyms]         [k] switch_mm_irqs_off
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d81ece
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN7handler16read_range_firstEPK12st_key_rangeS2_bb
     0.00%     0.00%  perf             [kernel.kallsyms]         [k] allocate_slab
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c3cf2c
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d78905
     0.00%     0.00%  kworker/10:0     [kernel.kallsyms]         [k] rb_next
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca77c3
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ee8529
     0.00%     0.00%  kworker/25:1-mm  [kernel.kallsyms]         [k] sched_clock_cpu
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9da04
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d725a4
     0.00%     0.00%  kworker/6:2      [kernel.kallsyms]         [k] __rdgsbase_inactive
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ccf5f0
     0.00%     0.00%  kworker/0:3-mm_  [kernel.kallsyms]         [k] switch_mm_irqs_off
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9f1fd
     0.00%     0.00%  perf             [kernel.kallsyms]         [k] _raw_spin_lock
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]         [k] wq_worker_running
     0.00%     0.00%  kworker/23:1-ev  [kernel.kallsyms]         [k] wq_worker_running
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9db42
     0.00%     0.00%  kworker/19:2-mm  [kernel.kallsyms]         [k] ext4_ext_handle_unwritten_extents
     0.00%     0.00%  kworker/19:2-mm  [kernel.kallsyms]         [k] ext4_ext_map_blocks
     0.00%     0.00%  kworker/19:2-mm  [kernel.kallsyms]         [k] ext4_map_blocks
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000cb4eff
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] make_kuid
     0.00%     0.00%  kworker/7:2-eve  [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c84137
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c42cfc
     0.00%     0.00%  kworker/31:1-mm  [kernel.kallsyms]         [k] __switch_to_asm
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] ext4_do_update_inode.isra.0
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] __ext4_mark_inode_dirty
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] ext4_mark_iloc_dirty
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da0a84
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000de56c6
     0.00%     0.00%  kworker/1:0      [kernel.kallsyms]         [k] rb_insert_color
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d6fb6f
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x000000000070409c
     0.00%     0.00%  rcu_sched        [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.00%     0.00%  kworker/17:2-ev  [kernel.kallsyms]         [k] aio_complete
     0.00%     0.00%  kworker/9:1H-kb  [kernel.kallsyms]         [k] __list_del_entry_valid
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ef0556
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] worker_enter_idle
     0.00%     0.00%  kworker/11:1H-k  [kernel.kallsyms]         [k] update_sd_lb_stats.constprop.0
     0.00%     0.00%  kworker/11:1H-k  [kernel.kallsyms]         [k] find_busiest_group
     0.00%     0.00%  kworker/11:1H-k  [kernel.kallsyms]         [k] load_balance
     0.00%     0.00%  kworker/11:1H-k  [kernel.kallsyms]         [k] newidle_balance
     0.00%     0.00%  kworker/11:1H-k  [kernel.kallsyms]         [k] pick_next_task_fair
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da0851
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000da21c5
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d900d4
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000791f41
     0.00%     0.00%  tuned            [kernel.kallsyms]         [k] __do_fault
     0.00%     0.00%  tuned            [kernel.kallsyms]         [k] ext4_filemap_fault
     0.00%     0.00%  tuned            [kernel.kallsyms]         [k] filemap_fault
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c4382f
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN19Materialized_cursor24send_result_set_metadataEP3THDR4ListI4ItemE
     0.00%     0.00%  kworker/26:4     [kernel.kallsyms]         [k] wq_worker_running
     0.00%     0.00%  kworker/12:0     [kernel.kallsyms]         [k] __list_add_valid
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN3THD22store_slow_query_stateEP19Sub_statement_state
     0.00%     0.00%  mariadbd         [vdso]                    [.] 0x00000000000008a7
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c45851
     0.00%     0.00%  kworker/4:0      [kernel.kallsyms]         [k] pick_next_entity
     0.00%     0.00%  kworker/7:3      [kernel.kallsyms]         [k] select_idle_sibling
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d57acf
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d77445
     0.00%     0.00%  kworker/6:2      [kernel.kallsyms]         [k] update_cfs_rq_h_load
     0.00%     0.00%  kworker/6:2      [kernel.kallsyms]         [k] wake_affine_weight
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] cpumask_next
     0.00%     0.00%  kworker/31:1H-k  [kernel.kallsyms]         [k] __blk_bios_map_sg
     0.00%     0.00%  kworker/31:1H-k  [kernel.kallsyms]         [k] __blk_rq_map_sg
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] from_kuid
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9f86d
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c839ce
     0.00%     0.00%  tclsh8.6         libtcl8.6.so              [.] Tcl_GetStringFromObj
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d8ef7d
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d6f843
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ccd44b
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000dd423e
     0.00%     0.00%  kworker/17:0     [kernel.kallsyms]         [k] __wrgsbase_inactive
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x000000000070668c
     0.00%     0.00%  kworker/6:2      [kernel.kallsyms]         [k] __free_one_page
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca505b
     0.00%     0.00%  sshd             [kernel.kallsyms]         [k] ipv4_conntrack_local
     0.00%     0.00%  mariadbd         [kernel.kallsyms]         [k] mmap_region
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c89f7e
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000de8087
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d13392
     0.00%     0.00%  in:imjournal     [kernel.kallsyms]         [k] schedule_hrtimeout_range_clock
     0.00%     0.00%  mariadbd         mariadbd                  [.] lf_hash_search
     0.00%     0.00%  kworker/22:2-ev  [kernel.kallsyms]         [k] check_preempt_wakeup
     0.00%     0.00%  kworker/22:2-ev  [kernel.kallsyms]         [k] check_preempt_curr
     0.00%     0.00%  kworker/22:2-ev  [kernel.kallsyms]         [k] ttwu_do_wakeup
     0.00%     0.00%  kworker/1:3-eve  [kernel.kallsyms]         [k] set_next_entity
     0.00%     0.00%  kworker/27:2     [kernel.kallsyms]         [k] __ext4_mark_inode_dirty
     0.00%     0.00%  kworker/27:2     [kernel.kallsyms]         [k] ext4_reserve_inode_write
     0.00%     0.00%  kworker/23:0     [kernel.kallsyms]         [k] __smp_call_single_queue
     0.00%     0.00%  mariadbd         mariadbd                  [.] _ZN10TABLE_LIST23is_recursive_with_tableEv
     0.00%     0.00%  kworker/20:2-mm  [kernel.kallsyms]         [k] _find_next_bit
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d7466f
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d13a42
     0.00%     0.00%  kworker/29:2-mm  [kernel.kallsyms]         [k] refresh_cpu_vm_stats
     0.00%     0.00%  kworker/29:2-mm  [kernel.kallsyms]         [k] vmstat_update
     0.00%     0.00%  rhsmcertd-worke  [kernel.kallsyms]         [k] __ext4_read_dirblock
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000c9fa80
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000ca5995
     0.00%     0.00%  kworker/19:2-mm  [kernel.kallsyms]         [k] __update_load_avg_se
     0.00%     0.00%  kworker/9:0      [kernel.kallsyms]         [k] __update_load_avg_cfs_rq
     0.00%     0.00%  kworker/10:0     [kernel.kallsyms]         [k] kmem_cache_free
     0.00%     0.00%  mariadbd         mariadbd                  [.] 0x0000000000d9a913
     0.00%     0.00%  tclsh8.6         [kernel.kallsyms]         [k] choose_new_asid
     0.00%     0.00%  kworker/7:1      [kernel.kallsyms]         [k] __irq_exit_rcu
     0.00%     0.00%  kworker/7:1      [kernel.kallsyms]         [k] asm_common_interrupt
     0.00%     0.00%  kworker/7:1      [kernel.kallsyms]         [k] common_interrupt
     0.00%     0.00%  kworker/7:1      [kernel.kallsyms]         [k] kfree
