# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 32K of event 'cycles'
# Event count (approx.): 13867351128519
#
# Children      Self  Command          Shared Object      Symbol                                           
# ........  ........  ...............  .................  .................................................
#
     0.62%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] __x64_sys_writev
     0.62%     0.03%  kswapd1          [kernel.kallsyms]  [k] rmap_walk_file
     0.62%     0.00%  swapper          [kernel.kallsyms]  [k] asm_common_interrupt
     0.62%     0.23%  swapper          [kernel.kallsyms]  [k] menu_select
     0.61%     0.01%  swapper          [kernel.kallsyms]  [k] common_interrupt
     0.61%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] vfs_writev
     0.61%     0.05%  cluster1-nio-wo  [kernel.kallsyms]  [k] futex_wake
     0.60%     0.60%  cluster1-nio-wo  [kernel.kallsyms]  [k] dst_release
     0.60%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] skb_release_head_state
     0.59%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] do_iter_write
     0.58%     0.00%  swapper          [kernel.kallsyms]  [k] __common_interrupt
     0.58%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] do_iter_readv_writev
     0.58%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] sock_sendmsg
     0.58%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] sock_write_iter
     0.57%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] tcp_sendmsg
     0.57%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] inet6_sendmsg
     0.57%     0.00%  swapper          [kernel.kallsyms]  [k] handle_edge_irq
     0.57%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] tcp_push
     0.56%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] __tcp_push_pending_frames
     0.56%     0.02%  epollEventLoopG  [kernel.kallsyms]  [k] tcp_write_xmit
     0.55%     0.00%  swapper          [kernel.kallsyms]  [k] handle_irq_event
     0.53%     0.01%  swapper          [kernel.kallsyms]  [k] nvme_irq
     0.53%     0.01%  swapper          [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.53%     0.09%  NonPeriodicTask  [kernel.kallsyms]  [k] deactivate_file_page
     0.52%     0.02%  swapper          [kernel.kallsyms]  [k] nvme_process_cq
     0.52%     0.02%  epollEventLoopG  [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.52%     0.03%  cluster1-nio-wo  [kernel.kallsyms]  [k] tcp_sendmsg_locked
     0.50%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] wake_up_q
     0.50%     0.05%  cluster1-nio-wo  [kernel.kallsyms]  [k] try_to_wake_up
     0.49%     0.01%  epollEventLoopG  [kernel.kallsyms]  [k] __ip_queue_xmit
     0.49%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] ip_queue_xmit
     0.49%     0.01%  swapper          [kernel.kallsyms]  [k] nvme_pci_complete_rq
     0.49%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] ip_local_out
     0.48%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] ip_output
     0.48%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] ip_finish_output
     0.47%     0.03%  kswapd1          [kernel.kallsyms]  [k] __remove_mapping
     0.47%     0.00%  swapper          [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.46%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] __ip_finish_output
     0.46%     0.01%  epollEventLoopG  [kernel.kallsyms]  [k] ip_finish_output2
     0.44%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] __x64_sys_read
     0.44%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] ksys_read
     0.44%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] vfs_read
     0.44%     0.11%  NonPeriodicTask  [kernel.kallsyms]  [k] pagevec_lru_move_fn
     0.44%     0.01%  epollEventLoopG  [kernel.kallsyms]  [k] sock_read_iter
     0.43%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] new_sync_read
     0.43%     0.01%  swapper          [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.42%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] sock_recvmsg
     0.42%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] inet_recvmsg
     0.42%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] tcp_recvmsg
     0.41%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] __local_bh_enable_ip
     0.41%     0.01%  epollEventLoopG  [kernel.kallsyms]  [k] __softirqentry_text_start
     0.41%     0.01%  kswapd0          [kernel.kallsyms]  [k] page_referenced
     0.41%     0.00%  kswapd1          [kernel.kallsyms]  [k] page_referenced
     0.41%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] do_softirq
     0.40%     0.01%  swapper          [kernel.kallsyms]  [k] nvme_complete_rq
     0.40%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] __napi_poll
     0.40%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] net_rx_action
     0.39%     0.23%  epollEventLoopG  [kernel.kallsyms]  [k] tcp_recvmsg_locked
     0.39%     0.00%  swapper          [kernel.kallsyms]  [k] blk_mq_end_request
     0.39%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] process_backlog
     0.39%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] __netif_receive_skb
     0.39%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] __netif_receive_skb_one_core
     0.38%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] ip_rcv
     0.38%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] ip_local_deliver
     0.38%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] ip_local_deliver_finish
     0.38%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] ip_protocol_deliver_rcu
     0.37%     0.04%  epollEventLoopG  [kernel.kallsyms]  [k] tcp_v4_rcv
     0.36%     0.25%  kswapd0          [kernel.kallsyms]  [k] isolate_pages
     0.36%     0.04%  kswapd0          [kernel.kallsyms]  [k] page_referenced_one
     0.35%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] tcp_push
     0.35%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] tcp_write_xmit
     0.35%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] __tcp_push_pending_frames
     0.35%     0.02%  cluster1-nio-wo  [kernel.kallsyms]  [k] __tcp_transmit_skb
     0.33%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] tcp_v4_do_rcv
     0.33%     0.03%  swapper          [kernel.kallsyms]  [k] blk_update_request
     0.33%     0.03%  epollEventLoopG  [kernel.kallsyms]  [k] tcp_rcv_established
     0.33%     0.00%  kswapd1          [kernel.kallsyms]  [k] __delete_from_page_cache
     0.32%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] ip_queue_xmit
     0.32%     0.01%  swapper          [kernel.kallsyms]  [k] ttwu_do_activate
     0.32%     0.02%  cluster1-nio-wo  [kernel.kallsyms]  [k] __ip_queue_xmit
     0.31%     0.03%  kswapd1          [kernel.kallsyms]  [k] page_referenced_one
     0.31%     0.00%  MutationStage-3  [kernel.kallsyms]  [k] do_syscall_64
     0.31%     0.00%  MutationStage-3  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.31%     0.25%  kswapd1          [kernel.kallsyms]  [k] isolate_pages
     0.31%     0.00%  MutationStage-3  [kernel.kallsyms]  [k] __x64_sys_futex
     0.31%     0.00%  MutationStage-3  [kernel.kallsyms]  [k] do_futex
     0.30%     0.29%  Native-Transpor  [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.30%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] asm_exc_page_fault
     0.30%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] exc_page_fault
     0.30%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_user_addr_fault
     0.30%     0.00%  MutationStage-3  [kernel.kallsyms]  [k] futex_wake
     0.30%     0.00%  MutationStage-3  [kernel.kallsyms]  [k] try_to_wake_up
     0.30%     0.00%  MutationStage-3  [kernel.kallsyms]  [k] wake_up_q
     0.30%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] handle_mm_fault
     0.29%     0.29%  MutationStage-3  [kernel.kallsyms]  [k] ttwu_queue_wakelist
     0.29%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] ip_local_out
     0.29%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] __handle_mm_fault
     0.29%     0.01%  kswapd0          [kernel.kallsyms]  [k] try_to_unmap
     0.28%     0.00%  kswapd1          [kernel.kallsyms]  [k] try_to_unmap
     0.28%     0.00%  swapper          [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.28%     0.02%  swapper          [kernel.kallsyms]  [k] enqueue_task
     0.28%     0.03%  swapper          [kernel.kallsyms]  [k] psi_task_switch
     0.28%     0.03%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_from_idle
     0.27%     0.01%  swapper          [kernel.kallsyms]  [k] hrtimer_interrupt
     0.27%     0.00%  swapper          [kernel.kallsyms]  [k] bio_endio
     0.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] ip_output
     0.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] ip_finish_output
     0.27%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] __ip_finish_output
     0.27%     0.02%  kswapd1          [kernel.kallsyms]  [k] page_cache_delete
     0.26%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] ip_finish_output2
     0.26%     0.15%  kswapd0          [kernel.kallsyms]  [k] try_to_unmap_one
     0.26%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] ttwu_do_activate
     0.25%     0.04%  kswapd0          [kernel.kallsyms]  [k] free_unref_page_list
     0.24%     0.01%  kswapd1          [kernel.kallsyms]  [k] xas_store
     0.24%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] __local_bh_enable_ip
     0.24%     0.02%  Native-Transpor  [kernel.kallsyms]  [k] dequeue_task
     0.24%     0.17%  NonPeriodicTask  [kernel.kallsyms]  [k] release_pages
     0.24%     0.00%  swapper          [kernel.kallsyms]  [k] mpage_end_io
     0.24%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] __softirqentry_text_start
     0.24%     0.24%  kswapd1          [kernel.kallsyms]  [k] xas_create
     0.24%     0.03%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.23%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] do_softirq
     0.23%     0.09%  swapper          [kernel.kallsyms]  [k] __read_end_io
     0.23%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] enqueue_task
     0.22%     0.01%  swapper          [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] net_rx_action
     0.22%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] __napi_poll
     0.22%     0.00%  CompactionExecu  [kernel.kallsyms]  [k] do_syscall_64
     0.22%     0.00%  CompactionExecu  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.22%     0.10%  kswapd1          [kernel.kallsyms]  [k] try_to_unmap_one
     0.22%     0.02%  Native-Transpor  [kernel.kallsyms]  [k] dequeue_task_fair
     0.22%     0.21%  swapper          [kernel.kallsyms]  [k] psi_group_change
     0.22%     0.00%  CompactionExecu  [kernel.kallsyms]  [k] ksys_write
     0.22%     0.00%  CompactionExecu  [kernel.kallsyms]  [k] __x64_sys_write
     0.21%     0.02%  swapper          [kernel.kallsyms]  [k] pick_next_task_fair
     0.21%     0.00%  CompactionExecu  [kernel.kallsyms]  [k] new_sync_write
     0.21%     0.00%  CompactionExecu  [kernel.kallsyms]  [k] vfs_write
     0.21%     0.06%  swapper          [kernel.kallsyms]  [k] enqueue_task_fair
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] filemap_fault
     0.21%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] __do_fault
     0.21%     0.20%  kswapd0          [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] __netif_receive_skb
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] __netif_receive_skb_one_core
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] ip_rcv
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] process_backlog
     0.21%     0.00%  CompactionExecu  [kernel.kallsyms]  [k] ext4_file_write_iter
     0.21%     0.00%  CompactionExecu  [kernel.kallsyms]  [k] ext4_buffered_write_iter
     0.21%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] ip_local_deliver
     0.21%     0.00%  ReadStage-102    [kernel.kallsyms]  [k] do_syscall_64
     0.21%     0.00%  ReadStage-102    [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] ip_local_deliver_finish
     0.20%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] ip_protocol_deliver_rcu
     0.20%     0.01%  swapper          [kernel.kallsyms]  [k] try_to_wake_up
     0.20%     0.20%  ReadStage-102    [kernel.kallsyms]  [k] syscall_enter_from_user_mode
     0.20%     0.02%  kswapd0          [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.20%     0.00%  kswapd0          [kernel.kallsyms]  [k] arch_tlbbatch_flush
     0.20%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] tcp_v4_rcv
     0.20%     0.20%  Native-Transpor  [kernel.kallsyms]  [k] enter_lazy_tlb
     0.20%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     0.20%     0.00%  CompactionExecu  [kernel.kallsyms]  [k] generic_perform_write
     0.20%     0.00%  kswapd1          [kernel.kallsyms]  [k] arch_tlbbatch_flush
     0.20%     0.01%  kswapd0          [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.19%     0.03%  kswapd1          [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.19%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] tcp_v4_do_rcv
     0.18%     0.00%  NonPeriodicTask  [kernel.kallsyms]  [k] lock_page_lruvec_irqsave
     0.18%     0.17%  swapper          [kernel.kallsyms]  [k] cpuidle_governor_latency_req
     0.18%     0.00%  ReadStage-133    [kernel.kallsyms]  [k] asm_exc_page_fault
     0.18%     0.00%  ReadStage-133    [kernel.kallsyms]  [k] do_user_addr_fault
     0.18%     0.00%  ReadStage-133    [kernel.kallsyms]  [k] exc_page_fault
     0.18%     0.02%  NonPeriodicTask  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.18%     0.00%  ReadStage-133    [kernel.kallsyms]  [k] handle_mm_fault
     0.18%     0.03%  Native-Transpor  [kernel.kallsyms]  [k] dequeue_entity
     0.18%     0.00%  kswapd0          [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.18%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] tcp_rcv_established
     0.18%     0.00%  ReadStage-113    [kernel.kallsyms]  [k] asm_exc_page_fault
     0.18%     0.00%  ReadStage-113    [kernel.kallsyms]  [k] do_user_addr_fault
     0.18%     0.00%  ReadStage-113    [kernel.kallsyms]  [k] exc_page_fault
     0.18%     0.12%  swapper          [kernel.kallsyms]  [k] switch_mm_irqs_off
     0.18%     0.00%  ReadStage-133    [kernel.kallsyms]  [k] __handle_mm_fault
     0.18%     0.00%  swapper          [kernel.kallsyms]  [k] sched_ttwu_pending
     0.17%     0.00%  ReadStage-113    [kernel.kallsyms]  [k] __handle_mm_fault
     0.17%     0.00%  ReadStage-113    [kernel.kallsyms]  [k] handle_mm_fault
     0.17%     0.00%  Native-Transpor  [kernel.kallsyms]  [k] do_page_cache_ra
     0.17%     0.02%  swapper          [kernel.kallsyms]  [k] tick_nohz_get_sleep_length
     0.17%     0.03%  kswapd0          [kernel.kallsyms]  [k] free_pcppages_bulk
     0.17%     0.00%  ReadStage-113    [kernel.kallsyms]  [k] page_cache_ra_unbounded
     0.17%     0.00%  ReadStage-113    [kernel.kallsyms]  [k] __do_fault
     0.17%     0.00%  ReadStage-113    [kernel.kallsyms]  [k] filemap_fault
     0.17%     0.16%  NonPeriodicTask  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.16%     0.00%  ReadStage-113    [kernel.kallsyms]  [k] do_page_cache_ra
     0.16%     0.00%  kswapd1          [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.16%     0.00%  kswapd1          [kernel.kallsyms]  [k] try_to_unmap_flush
     0.16%     0.13%  kswapd0          [kernel.kallsyms]  [k] lru_gen_look_around
     0.15%     0.14%  kswapd1          [kernel.kallsyms]  [k] lru_gen_look_around
     0.15%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.15%     0.00%  kswapd0          [kernel.kallsyms]  [k] try_to_unmap_flush
     0.15%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.15%     0.12%  kswapd0          [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.14%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] __kfree_skb
     0.14%     0.09%  swapper          [kernel.kallsyms]  [k] set_next_entity
     0.14%     0.03%  swapper          [kernel.kallsyms]  [k] enqueue_entity
     0.14%     0.14%  kswapd0          [kernel.kallsyms]  [k] __free_one_page
     0.14%     0.04%  epollEventLoopG  [kernel.kallsyms]  [k] tcp_ack
     0.14%     0.03%  kswapd1          [kernel.kallsyms]  [k] free_unref_page_list
     0.14%     0.13%  kswapd1          [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.14%     0.00%  ReadStage-113    [kernel.kallsyms]  [k] read_pages
     0.14%     0.00%  ReadStage-133    [kernel.kallsyms]  [k] filemap_map_pages
     0.13%     0.02%  cluster1-nio-wo  [kernel.kallsyms]  [k] __skb_datagram_iter
     0.13%     0.00%  cluster1-nio-wo  [kernel.kallsyms]  [k] skb_copy_datagram_iter
     0.13%     0.01%  swapper          [kernel.kallsyms]  [k] unlock_page
     0.13%     0.13%  ReadStage-113    [kernel.kallsyms]  [k] ext4_mpage_readpages
     0.13%     0.00%  ReadStage-113    [kernel.kallsyms]  [k] ext4_readahead
     0.13%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] try_to_wake_up
     0.13%     0.01%  Native-Transpor  [kernel.kallsyms]  [k] switch_fpu_return
     0.13%     0.13%  ReadStage-133    [kernel.kallsyms]  [k] next_uptodate_page
     0.13%     0.00%  ReadStage-113    [kernel.kallsyms]  [k] xa_load
     0.13%     0.00%  epollEventLoopG  [kernel.kallsyms]  [k] __x64_sys_epoll_wait
     0.13%     0.00%  swapper          [kernel.kallsyms]  [k] wake_up_page_bit
     0.12%     0.01%  epollEventLoopG  [kernel.kallsyms]  [k] skb_do_copy_data_nocache
     0.12%     0.12%  Native-Transpor  [kernel.kallsyms]  [k] __restore_fpregs_from_fpstate
     0.12%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] enqueue_task_fair
     0.12%     0.01%  swapper          [kernel.kallsyms]  [k] irq_exit_rcu
     0.12%     0.01%  cluster1-nio-wo  [kernel.kallsyms]  [k] __x64_sys_epoll_wait
     0.12%     0.08%  kswapd1          [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.12%     0.11%  epollEventLoopG  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
