# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 23811225081354
#
# Children      Self  Command          Shared Object          Symbol                                             
# ........  ........  ...............  .....................  ...................................................
#
     3.74%     0.08%  redis-server     [kernel.kallsyms]      [k] consume_skb
     3.62%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge
     3.45%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] free_unref_page
     3.42%     3.40%  memtier_benchma  [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     3.33%     3.32%  redis-server     [kernel.kallsyms]      [k] clear_page_erms
     3.29%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] free_unref_page_commit.constprop.0
     3.25%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_uncharge
     3.20%     0.27%  memtier_benchma  [kernel.kallsyms]      [k] free_pcppages_bulk
     3.08%     0.43%  memtier_benchma  [kernel.kallsyms]      [k] _raw_spin_lock
     2.84%     2.01%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_cancel
     2.82%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge_pages
     2.78%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_ctl
     2.78%     0.31%  memtier_benchma  [kernel.kallsyms]      [k] refill_obj_stock
     2.75%     0.46%  memtier_benchma  [kernel.kallsyms]      [k] try_charge_memcg
     2.66%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] free_compound_page
     2.64%     2.63%  memtier_benchma  [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath
     2.62%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] kfree
     2.60%     0.01%  redis-server     [kernel.kallsyms]      [k] do_swap_page
     2.58%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] skb_free_head
     2.48%     0.26%  memtier_benchma  [kernel.kallsyms]      [k] memcg_slab_free_hook
     2.31%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] refill_stock
     2.27%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] drain_stock
     2.12%     0.11%  redis-server     [kernel.kallsyms]      [k] __alloc_skb
     2.11%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_uncharge
     2.09%     0.68%  memtier_benchma  [kernel.kallsyms]      [k] do_epoll_ctl
     2.01%     2.00%  memtier_benchma  [kernel.kallsyms]      [k] propagate_protected_usage
     1.85%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_uncharge_pages
     1.79%     0.83%  memtier_benchma  [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     1.76%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     1.65%     0.98%  redis-server     [kernel.kallsyms]      [k] _raw_spin_lock
     1.64%     0.98%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_try_charge
     1.61%     0.52%  redis-server     [kernel.kallsyms]      [k] __memcg_kmem_charge_page
     1.55%     0.28%  redis-server     [kernel.kallsyms]      [k] skb_release_data
     1.47%     0.24%  memtier_benchma  [kernel.kallsyms]      [k] do_epoll_wait
     1.45%     0.01%  redis-server     [kernel.kallsyms]      [k] __wake_up_sync_key
     1.44%     0.04%  redis-server     [kernel.kallsyms]      [k] __wake_up_common_lock
     1.35%     0.82%  redis-server     [kernel.kallsyms]      [k] memcg_slab_free_hook
     1.32%     0.00%  redis-server     [kernel.kallsyms]      [k] swap_readpage
     1.32%     0.04%  redis-server     [kernel.kallsyms]      [k] skb_copy_datagram_from_iter
     1.29%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] __mem_cgroup_uncharge
     1.27%     0.01%  redis-server     [kernel.kallsyms]      [k] skb_free_head
     1.26%     0.06%  redis-server     [kernel.kallsyms]      [k] kfree
     1.22%     0.00%  redis-server     [kernel.kallsyms]      [k] bdev_read_page
     1.21%     0.01%  redis-server     [kernel.kallsyms]      [k] zram_rw_page
     1.21%     0.63%  redis-server     [kernel.kallsyms]      [k] obj_cgroup_charge_pages
     1.21%     0.08%  redis-server     [kernel.kallsyms]      [k] __wake_up_common
     1.19%     0.02%  redis-server     [kernel.kallsyms]      [k] zram_bvec_rw.constprop.0
     1.17%     0.30%  redis-server     [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     1.16%     0.04%  redis-server     [kernel.kallsyms]      [k] __zram_bvec_read.constprop.0
     1.15%     0.21%  memtier_benchma  [kernel.kallsyms]      [k] __fget_light
     1.15%     1.14%  redis-server     [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     1.15%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_sync_key
     1.13%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_common_lock
     1.11%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] sock_def_readable
     1.11%     0.02%  redis-server     [kernel.kallsyms]      [k] skb_release_head_state
     1.10%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] uncharge_batch
     1.09%     0.04%  redis-server     [kernel.kallsyms]      [k] unix_destruct_scm
     1.05%     0.55%  memtier_benchma  [kernel.kallsyms]      [k] __check_object_size
     1.05%     0.43%  redis-server     [kernel.kallsyms]      [k] sock_wfree
     1.05%     0.22%  redis-server     [kernel.kallsyms]      [k] ep_poll_callback
     1.03%     0.00%  redis-server     [kernel.kallsyms]      [k] zcomp_decompress
     1.03%     0.00%  redis-server     [kernel.kallsyms]      [k] crypto_comp_decompress
     1.03%     0.00%  redis-server     [kernel.kallsyms]      [k] lzorle_decompress
     1.03%     1.02%  redis-server     [kernel.kallsyms]      [k] lzo1x_decompress_safe
     1.01%     0.12%  redis-server     [kernel.kallsyms]      [k] kmem_cache_free
     1.01%     0.06%  redis-server     [kernel.kallsyms]      [k] sock_def_readable
     1.00%     0.01%  redis-server     [kernel.kallsyms]      [k] kfree_skbmem
     0.99%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_ioctl
     0.95%     0.93%  memtier_benchma  [kernel.kallsyms]      [k] __fget_files
     0.95%     0.31%  redis-server     [kernel.kallsyms]      [k] rmqueue_bulk
     0.91%     0.41%  redis-server     [kernel.kallsyms]      [k] try_charge_memcg
     0.91%     0.42%  memtier_benchma  [kernel.kallsyms]      [k] __entry_text_start
     0.90%     0.02%  redis-server     [kernel.kallsyms]      [k] unix_stream_read_actor
     0.88%     0.86%  memtier_benchma  [kernel.kallsyms]      [k] get_obj_cgroup_from_current
     0.88%     0.02%  redis-server     [kernel.kallsyms]      [k] skb_copy_datagram_iter
     0.87%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_common
     0.85%     0.03%  redis-server     [kernel.kallsyms]      [k] __skb_datagram_iter
     0.81%     0.01%  redis-server     [kernel.kallsyms]      [k] simple_copy_to_iter
     0.78%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] __fdget
     0.77%     0.00%  kswapd0          [kernel.kallsyms]      [k] kswapd
     0.77%     0.00%  kswapd0          [kernel.kallsyms]      [k] kthread
     0.77%     0.00%  kswapd0          [kernel.kallsyms]      [k] ret_from_fork
     0.77%     0.00%  kswapd0          [kernel.kallsyms]      [k] balance_pgdat
     0.77%     0.21%  memtier_benchma  [kernel.kallsyms]      [k] ep_poll_callback
     0.74%     0.00%  kswapd0          [kernel.kallsyms]      [k] shrink_node
     0.71%     0.00%  kswapd0          [kernel.kallsyms]      [k] shrink_lruvec
     0.71%     0.01%  kswapd0          [kernel.kallsyms]      [k] evict_pages
     0.70%     0.00%  swapper          [kernel.kallsyms]      [k] arch_call_rest_init
     0.70%     0.00%  swapper          [kernel.kallsyms]      [k] rest_init
     0.70%     0.00%  swapper          [kernel.kallsyms]      [k] start_kernel
     0.70%     0.00%  swapper          [kernel.kallsyms]      [k] x86_64_start_kernel
     0.70%     0.00%  swapper          [kernel.kallsyms]      [k] x86_64_start_reservations
     0.67%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] do_vfs_ioctl
     0.67%     0.00%  kswapd1          [kernel.kallsyms]      [k] kswapd
     0.67%     0.00%  kswapd1          [kernel.kallsyms]      [k] kthread
     0.67%     0.00%  kswapd1          [kernel.kallsyms]      [k] ret_from_fork
     0.67%     0.00%  kswapd1          [kernel.kallsyms]      [k] balance_pgdat
     0.67%     0.67%  redis-server     [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath
     0.65%     0.00%  kswapd1          [kernel.kallsyms]      [k] shrink_node
     0.64%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] import_iovec
     0.64%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] sock_ioctl
     0.62%     0.00%  kswapd1          [kernel.kallsyms]      [k] shrink_lruvec
     0.62%     0.01%  kswapd1          [kernel.kallsyms]      [k] evict_pages
     0.62%     0.11%  redis-server     [kernel.kallsyms]      [k] unix_write_space
     0.61%     0.53%  memtier_benchma  [kernel.kallsyms]      [k] drain_obj_stock
     0.61%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] ep_item_poll.isra.0
     0.59%     0.07%  redis-server     [kernel.kallsyms]      [k] exit_to_user_mode_prepare
     0.58%     0.48%  redis-server     [kernel.kallsyms]      [k] __slab_free
     0.58%     0.34%  redis-server     [kernel.kallsyms]      [k] mod_objcg_state
     0.58%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] __import_iovec
     0.58%     0.34%  memtier_benchma  [kernel.kallsyms]      [k] sock_poll
     0.57%     0.02%  kswapd0          [kernel.kallsyms]      [k] shrink_page_list
     0.57%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] schedule_hrtimeout_range
     0.57%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] schedule_hrtimeout_range_clock
     0.56%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] schedule
     0.56%     0.55%  memtier_benchma  [kernel.kallsyms]      [k] _raw_read_lock_irqsave
     0.55%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] rw_verify_area
     0.54%     0.01%  kswapd1          [kernel.kallsyms]      [k] shrink_page_list
     0.54%     0.00%  redis-server     [kernel.kallsyms]      [k] __wake_up
     0.52%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] __schedule
     0.51%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] syscall_exit_to_user_mode
     0.51%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] skb_copy_datagram_from_iter
     0.50%     0.00%  redis-server     [kernel.kallsyms]      [k] task_work_run
     0.50%     0.00%  redis-server     [kernel.kallsyms]      [k] autoremove_wake_function
     0.50%     0.46%  memtier_benchma  [kernel.kallsyms]      [k] mutex_lock
     0.50%     0.05%  redis-server     [kernel.kallsyms]      [k] migrate_misplaced_page
     0.50%     0.00%  redis-server     [kernel.kallsyms]      [k] task_numa_work
     0.50%     0.00%  redis-server     [kernel.kallsyms]      [k] change_prot_numa
     0.50%     0.00%  redis-server     [kernel.kallsyms]      [k] default_wake_function
     0.49%     0.02%  redis-server     [kernel.kallsyms]      [k] try_to_wake_up
     0.49%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] sock_do_ioctl
     0.48%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] iovec_from_user
     0.47%     0.07%  redis-server     [kernel.kallsyms]      [k] ___slab_alloc
     0.46%     0.00%  redis-server     [kernel.kallsyms]      [k] swap_free
     0.45%     0.45%  redis-server     [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.45%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] kfree_skbmem
     0.45%     0.45%  redis-server     [kernel.kallsyms]      [k] copy_user_generic_unrolled
     0.45%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] security_file_permission
     0.45%     0.43%  redis-server     [kernel.kallsyms]      [k] change_protection
     0.45%     0.44%  redis-server     [kernel.kallsyms]      [k] sync_regs
     0.45%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_free
     0.44%     0.00%  redis-server     [kernel.kallsyms]      [k] __swap_entry_free
     0.44%     0.00%  redis-server     [kernel.kallsyms]      [k] free_swap_slot
     0.43%     0.00%  redis-server     [kernel.kallsyms]      [k] swapcache_free_entries
     0.42%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] unix_ioctl
     0.42%     0.39%  memtier_benchma  [kernel.kallsyms]      [k] fput
     0.42%     0.06%  redis-server     [kernel.kallsyms]      [k] migrate_pages
     0.41%     0.12%  redis-server     [kernel.kallsyms]      [k] kmem_cache_alloc_node
     0.41%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] ___slab_alloc
     0.40%     0.29%  memtier_benchma  [kernel.kallsyms]      [k] exit_to_user_mode_prepare
     0.39%     0.39%  memtier_benchma  [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.39%     0.39%  redis-server     redis-check-rdb        [.] stringObjectLen
     0.39%     0.00%  redis-server     [kernel.kallsyms]      [k] new_slab
     0.38%     0.32%  memtier_benchma  [kernel.kallsyms]      [k] apparmor_file_permission
     0.38%     0.37%  memtier_benchma  [kernel.kallsyms]      [k] copy_user_generic_unrolled
     0.37%     0.00%  redis-server     [kernel.kallsyms]      [k] page_counter_uncharge
     0.36%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] skb_release_head_state
     0.36%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] unix_destruct_scm
     0.36%     0.35%  memtier_benchma  [kernel.kallsyms]      [k] __free_one_page
     0.36%     0.35%  redis-server     [kernel.kallsyms]      [k] memset_erms
     0.35%     0.00%  redis-server     [kernel.kallsyms]      [k] irqentry_exit
     0.35%     0.00%  redis-server     [kernel.kallsyms]      [k] irqentry_exit_to_user_mode
     0.34%     0.00%  swapper          [kernel.kallsyms]      [k] schedule_idle
     0.33%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] sock_wfree
     0.32%     0.24%  redis-server     [kernel.kallsyms]      [k] page_counter_cancel
     0.32%     0.06%  swapper          [kernel.kallsyms]      [k] __schedule
     0.31%     0.30%  memtier_benchma  [kernel.kallsyms]      [k] __virt_addr_valid
     0.31%     0.01%  redis-server     [kernel.kallsyms]      [k] refill_stock
     0.31%     0.00%  redis-server     [kernel.kallsyms]      [k] swap_range_free
     0.31%     0.00%  redis-server     [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     0.30%     0.30%  memtier_benchma  [kernel.kallsyms]      [k] syscall_return_via_sysret
     0.30%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] new_slab
     0.30%     0.00%  redis-server     [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.30%     0.13%  redis-server     [kernel.kallsyms]      [k] __check_object_size
     0.29%     0.00%  redis-server     [kernel.kallsyms]      [k] drain_stock
     0.29%     0.28%  redis-server     [kernel.kallsyms]      [k] _raw_read_lock_irqsave
     0.28%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] __slab_free
     0.28%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] mod_objcg_state
     0.28%     0.07%  redis-server     [kernel.kallsyms]      [k] refill_obj_stock
     0.27%     0.16%  redis-server     [kernel.kallsyms]      [k] rcu_read_unlock_strict
     0.27%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] __fdget_pos
     0.27%     0.00%  redis-server     [kernel.kallsyms]      [k] ttwu_do_activate
     0.26%     0.01%  redis-server     [kernel.kallsyms]      [k] obj_cgroup_uncharge
     0.26%     0.01%  redis-server     [kernel.kallsyms]      [k] mem_cgroup_swapin_charge_page
     0.26%     0.18%  memtier_benchma  [kernel.kallsyms]      [k] rcu_read_unlock_strict
     0.26%     0.01%  redis-server     [kernel.kallsyms]      [k] syscall_exit_to_user_mode
     0.26%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_pages
     0.25%     0.24%  memtier_benchma  [kernel.kallsyms]      [k] mutex_unlock
     0.25%     0.24%  memtier_benchma  [kernel.kallsyms]      [k] unix_poll
     0.25%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] get_page_from_freelist
     0.25%     0.00%  redis-server     [kernel.kallsyms]      [k] enqueue_task
     0.25%     0.00%  redis-server     [kernel.kallsyms]      [k] charge_memcg
     0.25%     0.23%  memtier_benchma  [kernel.kallsyms]      [k] _raw_write_lock_irq
     0.25%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] alloc_pages
     0.25%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] dequeue_task
     0.25%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] __build_skb_around
     0.24%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] dequeue_task_fair
     0.22%     0.21%  memtier_benchma  [kernel.kallsyms]      [k] unix_inq_len
     0.21%     0.04%  redis-server     [kernel.kallsyms]      [k] obj_cgroup_charge
     0.21%     0.21%  redis-server     [kernel.kallsyms]      [k] xas_load
     0.21%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] unix_write_space
     0.20%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] skb_queue_tail
     0.20%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] dequeue_entity
     0.20%     0.00%  kswapd0          [kernel.kallsyms]      [k] pageout
     0.20%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] _copy_to_iter
     0.20%     0.00%  redis-server     [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     0.20%     0.00%  kswapd0          [kernel.kallsyms]      [k] swap_writepage
     0.20%     0.19%  memtier_benchma  [kernel.kallsyms]      [k] memset_erms
     0.19%     0.00%  kswapd0          [kernel.kallsyms]      [k] __swap_writepage
     0.19%     0.00%  kswapd0          [kernel.kallsyms]      [k] bdev_write_page
     0.19%     0.00%  kswapd1          [kernel.kallsyms]      [k] pageout
     0.18%     0.08%  redis-server     [kernel.kallsyms]      [k] __mod_memcg_lruvec_state
     0.18%     0.00%  kswapd1          [kernel.kallsyms]      [k] swap_writepage
     0.18%     0.18%  memtier_benchma  libc.so.6              [.] epoll_ctl
     0.18%     0.08%  redis-server     [kernel.kallsyms]      [k] obj_cgroup_uncharge_pages
     0.18%     0.00%  kswapd0          [kernel.kallsyms]      [k] zram_rw_page
     0.18%     0.09%  redis-server     [kernel.kallsyms]      [k] numa_migrate_prep
     0.18%     0.00%  kswapd1          [kernel.kallsyms]      [k] __swap_writepage
     0.18%     0.00%  kswapd1          [kernel.kallsyms]      [k] bdev_write_page
     0.17%     0.00%  swapper          [kernel.kallsyms]      [k] cpuidle_select
     0.17%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] aa_sk_perm
     0.17%     0.00%  kswapd1          [kernel.kallsyms]      [k] zram_rw_page
     0.17%     0.02%  kswapd0          [kernel.kallsyms]      [k] zram_bvec_rw.constprop.0
     0.17%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] __put_user_nocheck_4
     0.17%     0.14%  redis-server     [kernel.kallsyms]      [k] prep_compound_page
     0.17%     0.08%  swapper          [kernel.kallsyms]      [k] menu_select
     0.17%     0.04%  redis-server     [kernel.kallsyms]      [k] do_epoll_wait
     0.17%     0.04%  redis-server     [kernel.kallsyms]      [k] zram_slot_free_notify
     0.16%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] __ksize
     0.16%     0.16%  redis-server     [kernel.kallsyms]      [k] slab_free_freelist_hook.constprop.0
     0.16%     0.00%  redis-server     [kernel.kallsyms]      [k] alloc_pages_vma
     0.16%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] security_socket_recvmsg
     0.16%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] check_stack_object
     0.16%     0.16%  redis-server     [kernel.kallsyms]      [k] propagate_protected_usage
     0.16%     0.01%  kswapd1          [kernel.kallsyms]      [k] zram_bvec_rw.constprop.0
     0.15%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] _copy_from_user
     0.15%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_safe_stack
     0.15%     0.03%  redis-server     [kernel.kallsyms]      [k] psi_task_change
     0.15%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] __cond_resched
     0.15%     0.03%  redis-server     [kernel.kallsyms]      [k] enqueue_task_fair
     0.15%     0.00%  redis-server     [kernel.kallsyms]      [k] lookup_swap_cache
     0.15%     0.00%  redis-server     [kernel.kallsyms]      [k] pagecache_get_page
     0.15%     0.12%  redis-server     [kernel.kallsyms]      [k] kernel_init_free_pages.part.0
     0.15%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] skb_set_owner_w
     0.14%     0.02%  redis-server     [kernel.kallsyms]      [k] skb_unlink
     0.14%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] security_socket_sendmsg
     0.14%     0.00%  swapper          [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     0.14%     0.14%  redis-server     [kernel.kallsyms]      [k] page_counter_try_charge
     0.14%     0.03%  redis-server     [kernel.kallsyms]      [k] __fget_light
     0.14%     0.08%  redis-server     [kernel.kallsyms]      [k] __mod_memcg_state.part.0
     0.13%     0.00%  swapper          [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.13%     0.00%  redis-server     [kernel.kallsyms]      [k] move_to_new_page
     0.13%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] clear_page_erms
     0.13%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] apparmor_socket_recvmsg
     0.13%     0.01%  redis-server     [kernel.kallsyms]      [k] zram_free_page
     0.13%     0.00%  redis-server     [kernel.kallsyms]      [k] migrate_page
     0.13%     0.00%  kswapd1          [kernel.kallsyms]      [k] try_to_unmap_flush_dirty
     0.13%     0.00%  kswapd1          [kernel.kallsyms]      [k] arch_tlbbatch_flush
     0.13%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] apparmor_socket_sendmsg
     0.13%     0.00%  kswapd1          [kernel.kallsyms]      [k] native_flush_tlb_multi
     0.13%     0.00%  redis-server     [kernel.kallsyms]      [k] clear_shadow_from_swap_cache
     0.12%     0.01%  swapper          [kernel.kallsyms]      [k] flush_smp_call_function_from_idle
     0.12%     0.00%  kswapd1          [kernel.kallsyms]      [k] on_each_cpu_cond_mask
     0.12%     0.12%  redis-server     [kernel.kallsyms]      [k] _raw_read_unlock_irqrestore
     0.12%     0.03%  redis-server     [kernel.kallsyms]      [k] enqueue_entity
