# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 203  of event 'cycles'
# Event count (approx.): 14228959701
#
# Children      Self  Command          Shared Object      Symbol                                
# ........  ........  ...............  .................  ......................................
#
     5.76%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] ret_from_fork
     5.76%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] worker_thread
     2.50%     2.50%  rcu_sched        [kernel.kallsyms]  [k] schedule
     2.50%     0.00%  rcu_sched        [kernel.kallsyms]  [k] kthread
     2.50%     0.00%  rcu_sched        [kernel.kallsyms]  [k] rcu_gp_fqs_loop
     2.50%     0.00%  rcu_sched        [kernel.kallsyms]  [k] rcu_gp_kthread
     2.50%     0.00%  rcu_sched        [kernel.kallsyms]  [k] ret_from_fork
     2.50%     0.00%  rcu_sched        [kernel.kallsyms]  [k] schedule_timeout
     1.03%     1.03%  swapper          [kernel.kallsyms]  [k] run_posix_cpu_timers
     1.03%     0.00%  swapper          [kernel.kallsyms]  [k] __hrtimer_run_queues
     1.03%     0.00%  swapper          [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     1.03%     0.00%  swapper          [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     1.03%     0.00%  swapper          [kernel.kallsyms]  [k] hrtimer_interrupt
     1.03%     0.00%  swapper          [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     1.03%     0.00%  swapper          [kernel.kallsyms]  [k] tick_sched_handle
     1.03%     0.00%  swapper          [kernel.kallsyms]  [k] tick_sched_timer
     0.56%     0.07%  perf             [kernel.kallsyms]  [k] ctx_resched
     0.56%     0.00%  perf             [kernel.kallsyms]  [k] __perf_event_enable
     0.56%     0.00%  perf             [kernel.kallsyms]  [k] __x64_sys_ioctl
     0.56%     0.00%  perf             [kernel.kallsyms]  [k] _perf_event_enable
     0.56%     0.00%  perf             [kernel.kallsyms]  [k] _perf_ioctl
     0.56%     0.00%  perf             [kernel.kallsyms]  [k] do_syscall_64
     0.56%     0.00%  perf             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.56%     0.00%  perf             [kernel.kallsyms]  [k] event_function
     0.56%     0.00%  perf             [kernel.kallsyms]  [k] event_function_call
     0.56%     0.00%  perf             [kernel.kallsyms]  [k] generic_exec_single
     0.56%     0.00%  perf             [kernel.kallsyms]  [k] perf_event_for_each_child
     0.56%     0.00%  perf             [kernel.kallsyms]  [k] perf_ioctl
     0.56%     0.00%  perf             [kernel.kallsyms]  [k] remote_function
     0.56%     0.00%  perf             [kernel.kallsyms]  [k] smp_call_function_single
     0.49%     0.06%  perf             [kernel.kallsyms]  [k] x86_pmu_enable
     0.43%     0.00%  perf             [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.37%     0.00%  perf             [kernel.kallsyms]  [k] native_write_msr
     0.17%     0.17%  perf             [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.06%     0.06%  perf             [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.06%     0.06%  perf             [kernel.kallsyms]  [k] acpi_os_read_memory
     0.04%     0.04%  perf             [kernel.kallsyms]  [k] fill_pmd
     0.03%     0.03%  perf             [kernel.kallsyms]  [k] fill_pud
     0.02%     0.02%  perf             [kernel.kallsyms]  [k] fill_pte
     0.01%     0.01%  perf             [kernel.kallsyms]  [k] native_set_fixmap
     0.01%     0.01%  perf             [kernel.kallsyms]  [k] set_pte_vaddr
     0.01%     0.01%  perf             [kernel.kallsyms]  [k] ghes_copy_tofrom_phys
     0.01%     0.01%  perf             [kernel.kallsyms]  [k] set_pte_vaddr_p4d
     0.01%     0.01%  perf             [kernel.kallsyms]  [k] native_set_pte
     0.00%     0.00%  perf             [unknown]          [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
