# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 204  of event 'cycles'
# Event count (approx.): 79350080947
#
# Children      Self  Command          Shared Object      Symbol                                 
# ........  ........  ...............  .................  .......................................
#
     1.60%     0.00%  ksoftirqd/12     [kernel.kallsyms]  [k] run_ksoftirqd
     1.60%     0.00%  ksoftirqd/12     [kernel.kallsyms]  [k] smpboot_thread_fn
     0.44%     0.00%  perf             [kernel.kallsyms]  [k] __x64_sys_ioctl
     0.44%     0.00%  perf             [kernel.kallsyms]  [k] do_syscall_64
     0.44%     0.00%  perf             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.44%     0.00%  perf             [kernel.kallsyms]  [k] perf_ioctl
     0.43%     0.01%  perf             [kernel.kallsyms]  [k] smp_call_function_single
     0.43%     0.00%  perf             [kernel.kallsyms]  [k] _perf_event_enable
     0.43%     0.00%  perf             [kernel.kallsyms]  [k] _perf_ioctl
     0.43%     0.00%  perf             [kernel.kallsyms]  [k] event_function_call
     0.43%     0.00%  perf             [kernel.kallsyms]  [k] perf_event_for_each_child
     0.41%     0.02%  perf             [kernel.kallsyms]  [k] remote_function
     0.41%     0.00%  perf             [kernel.kallsyms]  [k] generic_exec_single
     0.39%     0.02%  perf             [kernel.kallsyms]  [k] event_function
     0.37%     0.37%  kcompactd0       [kernel.kallsyms]  [k] copy_page
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]  [k] move_to_new_page
     0.37%     0.03%  perf             [kernel.kallsyms]  [k] __perf_event_enable
     0.37%     0.37%  kcompactd0       [kernel.kallsyms]  [k] page_counter_cancel
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]  [k] __mem_cgroup_uncharge
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]  [k] __put_page
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]  [k] page_counter_uncharge
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]  [k] uncharge_batch
     0.37%     0.37%  kcompactd0       [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]  [k] remove_migration_pte
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     0.37%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk_file
     0.33%     0.04%  perf             [kernel.kallsyms]  [k] ctx_resched
     0.28%     0.07%  perf             [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.22%     0.01%  perf             [kernel.kallsyms]  [k] x86_pmu_enable
     0.19%     0.05%  perf             [kernel.kallsyms]  [k] native_write_msr
     0.09%     0.09%  perf             [kernel.kallsyms]  [k] nmi_restore
     0.04%     0.02%  perf             [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.04%     0.04%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ns_search_one_scope
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ev_asynch_execute_gpe_method
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ns_evaluate
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ns_lookup
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ns_search_and_enter
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_os_execute_deferred
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ps_execute_method
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ps_get_next_arg
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ps_get_next_namepath
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ps_parse_aml
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] acpi_ps_parse_loop
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] kthread
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] process_one_work
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] ret_from_fork
     0.04%     0.00%  kworker/0:1-eve  [kernel.kallsyms]  [k] worker_thread
     0.03%     0.03%  perf             [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.01%     0.01%  perf             [kernel.kallsyms]  [k] put_ctx
     0.01%     0.01%  perf             [kernel.kallsyms]  [k] __ghes_peek_estatus.isra.0
     0.01%     0.01%  perf             [kernel.kallsyms]  [k] acpi_os_read_memory
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] set_pte_vaddr
     0.00%     0.00%  perf             [kernel.kallsyms]  [k] ghes_copy_tofrom_phys
     0.00%     0.00%  perf             [unknown]          [.] 0000000000000000


#
# (Cannot load tips.txt file, please install perf!)
#
