# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 49246729955078
#
# Children      Self  Command          Shared Object          Symbol                                                   
# ........  ........  ...............  .....................  .........................................................
#
     4.53%     0.29%  memtier_benchma  [kernel.kallsyms]      [k] __skb_datagram_iter
     4.42%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_uncharge
     4.41%     0.37%  redis-server     [kernel.kallsyms]      [k] get_page_from_freelist
     4.21%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] simple_copy_to_iter
     4.15%     0.09%  redis-server     [kernel.kallsyms]      [k] consume_skb
     3.96%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge_pages
     3.88%     0.68%  memtier_benchma  [kernel.kallsyms]      [k] try_charge_memcg
     3.86%     2.73%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_cancel
     3.75%     0.42%  memtier_benchma  [kernel.kallsyms]      [k] refill_obj_stock
     3.46%     3.43%  memtier_benchma  [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     3.45%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] __put_page
     3.41%     0.20%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_ctl
     3.35%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] kfree
     3.30%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] skb_free_head
     3.25%     0.24%  memtier_benchma  [kernel.kallsyms]      [k] memcg_slab_free_hook
     3.19%     3.18%  redis-server     [kernel.kallsyms]      [k] clear_page_erms
     3.16%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] refill_stock
     3.10%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] drain_stock
     2.96%     0.07%  redis-server     [kernel.kallsyms]      [k] asm_exc_page_fault
     2.87%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_uncharge
     2.84%     2.82%  memtier_benchma  [kernel.kallsyms]      [k] propagate_protected_usage
     2.58%     0.03%  redis-server     [kernel.kallsyms]      [k] exc_page_fault
     2.57%     0.82%  memtier_benchma  [kernel.kallsyms]      [k] do_epoll_ctl
     2.53%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_uncharge_pages
     2.41%     0.07%  redis-server     [kernel.kallsyms]      [k] do_user_addr_fault
     2.31%     1.35%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_try_charge
     2.20%     0.09%  redis-server     [kernel.kallsyms]      [k] handle_mm_fault
     2.10%     0.94%  memtier_benchma  [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     2.08%     0.12%  redis-server     [kernel.kallsyms]      [k] __alloc_skb
     2.07%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] free_compound_page
     2.05%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     1.76%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] free_unref_page
     1.72%     0.24%  redis-server     [kernel.kallsyms]      [k] skb_release_data
     1.70%     0.26%  memtier_benchma  [kernel.kallsyms]      [k] do_epoll_wait
     1.69%     1.09%  redis-server     [kernel.kallsyms]      [k] memcg_slab_free_hook
     1.69%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] __mem_cgroup_uncharge
     1.59%     0.01%  redis-server     [kernel.kallsyms]      [k] __wake_up_sync_key
     1.58%     0.04%  redis-server     [kernel.kallsyms]      [k] __wake_up_common_lock
     1.57%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] free_unref_page_commit.constprop.0
     1.56%     0.49%  redis-server     [kernel.kallsyms]      [k] __memcg_kmem_charge_page
     1.50%     0.05%  redis-server     [kernel.kallsyms]      [k] skb_copy_datagram_from_iter
     1.49%     0.32%  memtier_benchma  [kernel.kallsyms]      [k] free_pcppages_bulk
     1.49%     0.61%  redis-server     [kernel.kallsyms]      [k] __handle_mm_fault
     1.48%     0.01%  redis-server     [kernel.kallsyms]      [k] skb_free_head
     1.48%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] uncharge_batch
     1.47%     0.07%  redis-server     [kernel.kallsyms]      [k] kfree
     1.44%     0.27%  memtier_benchma  [kernel.kallsyms]      [k] __fget_light
     1.32%     0.08%  redis-server     [kernel.kallsyms]      [k] __wake_up_common
     1.31%     1.30%  redis-server     [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     1.31%     0.51%  memtier_benchma  [kernel.kallsyms]      [k] _raw_spin_lock
     1.28%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_sync_key
     1.26%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_common_lock
     1.26%     1.24%  memtier_benchma  [kernel.kallsyms]      [k] get_obj_cgroup_from_current
     1.25%     0.17%  memtier_benchma  [kernel.kallsyms]      [k] sock_def_readable
     1.24%     0.61%  redis-server     [kernel.kallsyms]      [k] obj_cgroup_charge_pages
     1.19%     0.01%  redis-server     [kernel.kallsyms]      [k] kfree_skbmem
     1.19%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_ioctl
     1.18%     1.16%  memtier_benchma  [kernel.kallsyms]      [k] __fget_files
     1.18%     0.13%  redis-server     [kernel.kallsyms]      [k] kmem_cache_free
     1.16%     0.59%  memtier_benchma  [kernel.kallsyms]      [k] __check_object_size
     1.15%     0.02%  redis-server     [kernel.kallsyms]      [k] skb_release_head_state
     1.13%     0.21%  redis-server     [kernel.kallsyms]      [k] ep_poll_callback
     1.13%     0.05%  redis-server     [kernel.kallsyms]      [k] unix_destruct_scm
     1.08%     0.39%  redis-server     [kernel.kallsyms]      [k] sock_wfree
     1.08%     0.06%  redis-server     [kernel.kallsyms]      [k] sock_def_readable
     1.07%     0.83%  redis-server     [kernel.kallsyms]      [k] _raw_spin_lock
     1.06%     0.29%  redis-server     [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     1.04%     0.44%  memtier_benchma  [kernel.kallsyms]      [k] __entry_text_start
     0.97%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] __fdget
     0.94%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_common
     0.92%     0.02%  redis-server     [kernel.kallsyms]      [k] unix_stream_read_actor
     0.90%     0.03%  redis-server     [kernel.kallsyms]      [k] skb_copy_datagram_iter
     0.86%     0.04%  redis-server     [kernel.kallsyms]      [k] __skb_datagram_iter
     0.82%     0.02%  redis-server     [kernel.kallsyms]      [k] simple_copy_to_iter
     0.82%     0.27%  memtier_benchma  [kernel.kallsyms]      [k] ep_poll_callback
     0.80%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] import_iovec
     0.80%     0.70%  memtier_benchma  [kernel.kallsyms]      [k] drain_obj_stock
     0.80%     0.80%  memtier_benchma  [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath
     0.78%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] do_vfs_ioctl
     0.76%     0.39%  redis-server     [kernel.kallsyms]      [k] try_charge_memcg
     0.74%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] __import_iovec
     0.73%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] ep_item_poll.isra.0
     0.73%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] rw_verify_area
     0.73%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] sock_ioctl
     0.73%     0.43%  memtier_benchma  [kernel.kallsyms]      [k] sock_poll
     0.69%     0.11%  redis-server     [kernel.kallsyms]      [k] unix_write_space
     0.68%     0.00%  swapper          [kernel.kallsyms]      [k] arch_call_rest_init
     0.68%     0.00%  swapper          [kernel.kallsyms]      [k] rest_init
     0.68%     0.00%  swapper          [kernel.kallsyms]      [k] start_kernel
     0.68%     0.00%  swapper          [kernel.kallsyms]      [k] x86_64_start_kernel
     0.68%     0.00%  swapper          [kernel.kallsyms]      [k] x86_64_start_reservations
     0.63%     0.00%  redis-server     [kernel.kallsyms]      [k] __wake_up
     0.63%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] syscall_exit_to_user_mode
     0.63%     0.39%  redis-server     [kernel.kallsyms]      [k] mod_objcg_state
     0.63%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] schedule_hrtimeout_range
     0.63%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] schedule_hrtimeout_range_clock
     0.63%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] skb_copy_datagram_from_iter
     0.62%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] schedule
     0.61%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] iovec_from_user
     0.61%     0.53%  redis-server     [kernel.kallsyms]      [k] __slab_free
     0.60%     0.01%  redis-server     [kernel.kallsyms]      [k] autoremove_wake_function
     0.59%     0.00%  redis-server     [kernel.kallsyms]      [k] default_wake_function
     0.59%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] security_file_permission
     0.58%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] __schedule
     0.58%     0.02%  redis-server     [kernel.kallsyms]      [k] try_to_wake_up
     0.57%     0.52%  memtier_benchma  [kernel.kallsyms]      [k] mutex_lock
     0.56%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] sock_do_ioctl
     0.55%     0.54%  memtier_benchma  [kernel.kallsyms]      [k] _raw_read_lock_irqsave
     0.53%     0.30%  redis-server     [kernel.kallsyms]      [k] rmqueue_bulk
     0.51%     0.48%  memtier_benchma  [kernel.kallsyms]      [k] fput
     0.50%     0.49%  redis-server     [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.50%     0.42%  memtier_benchma  [kernel.kallsyms]      [k] apparmor_file_permission
     0.50%     0.36%  memtier_benchma  [kernel.kallsyms]      [k] exit_to_user_mode_prepare
     0.48%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] kfree_skbmem
     0.48%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_free
     0.48%     0.46%  memtier_benchma  [kernel.kallsyms]      [k] copy_user_generic_unrolled
     0.47%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] unix_ioctl
     0.46%     0.45%  memtier_benchma  [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.44%     0.13%  redis-server     [kernel.kallsyms]      [k] kmem_cache_alloc_node
     0.43%     0.00%  redis-server     [kernel.kallsyms]      [k] do_swap_page
     0.43%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] skb_release_head_state
     0.43%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] ___slab_alloc
     0.43%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] unix_destruct_scm
     0.42%     0.06%  redis-server     [kernel.kallsyms]      [k] exit_to_user_mode_prepare
     0.41%     0.01%  swapper          [kernel.kallsyms]      [k] schedule_idle
     0.41%     0.40%  memtier_benchma  [kernel.kallsyms]      [k] __free_one_page
     0.41%     0.40%  redis-server     [kernel.kallsyms]      [k] copy_user_generic_unrolled
     0.40%     0.07%  swapper          [kernel.kallsyms]      [k] __schedule
     0.38%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] sock_wfree
     0.37%     0.36%  memtier_benchma  [kernel.kallsyms]      [k] syscall_return_via_sysret
     0.37%     0.36%  redis-server     [kernel.kallsyms]      [k] memset_erms
     0.36%     0.00%  redis-server     [kernel.kallsyms]      [k] ttwu_do_activate
     0.35%     0.34%  memtier_benchma  [kernel.kallsyms]      [k] __virt_addr_valid
     0.34%     0.00%  redis-server     [kernel.kallsyms]      [k] task_work_run
     0.34%     0.34%  redis-server     [kernel.kallsyms]      [k] sync_regs
     0.34%     0.00%  redis-server     [kernel.kallsyms]      [k] change_prot_numa
     0.34%     0.00%  redis-server     [kernel.kallsyms]      [k] task_numa_work
     0.33%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] __fdget_pos
     0.33%     0.00%  redis-server     [kernel.kallsyms]      [k] enqueue_task
     0.33%     0.06%  redis-server     [kernel.kallsyms]      [k] ___slab_alloc
     0.33%     0.19%  memtier_benchma  [kernel.kallsyms]      [k] mod_objcg_state
     0.33%     0.32%  memtier_benchma  [kernel.kallsyms]      [k] mutex_unlock
     0.32%     0.30%  memtier_benchma  [kernel.kallsyms]      [k] _raw_write_lock_irq
     0.32%     0.13%  redis-server     [kernel.kallsyms]      [k] __check_object_size
     0.31%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] new_slab
     0.30%     0.30%  memtier_benchma  [kernel.kallsyms]      [k] unix_poll
     0.30%     0.29%  redis-server     [kernel.kallsyms]      [k] change_protection
     0.29%     0.09%  redis-server     [kernel.kallsyms]      [k] refill_obj_stock
     0.29%     0.29%  redis-server     redis-check-rdb        [.] stringObjectLen
     0.29%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] dequeue_task
     0.29%     0.28%  redis-server     [kernel.kallsyms]      [k] _raw_read_lock_irqsave
     0.28%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] dequeue_task_fair
     0.28%     0.00%  redis-server     [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     0.28%     0.00%  redis-server     [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.27%     0.01%  redis-server     [kernel.kallsyms]      [k] obj_cgroup_uncharge
     0.27%     0.20%  memtier_benchma  [kernel.kallsyms]      [k] __slab_free
     0.27%     0.04%  redis-server     [kernel.kallsyms]      [k] obj_cgroup_charge
     0.26%     0.18%  memtier_benchma  [kernel.kallsyms]      [k] rcu_read_unlock_strict
     0.26%     0.16%  redis-server     [kernel.kallsyms]      [k] rcu_read_unlock_strict
     0.25%     0.01%  redis-server     [kernel.kallsyms]      [k] new_slab
     0.25%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_pages
     0.25%     0.00%  redis-server     [kernel.kallsyms]      [k] irqentry_exit
     0.24%     0.24%  redis-server     [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath
     0.24%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] alloc_pages
     0.24%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] unix_write_space
     0.24%     0.00%  redis-server     [kernel.kallsyms]      [k] irqentry_exit_to_user_mode
     0.24%     0.20%  memtier_benchma  [kernel.kallsyms]      [k] _copy_to_iter
     0.24%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] get_page_from_freelist
     0.24%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] dequeue_entity
     0.24%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] skb_queue_tail
     0.23%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] __build_skb_around
     0.23%     0.22%  memtier_benchma  [kernel.kallsyms]      [k] memset_erms
     0.23%     0.23%  memtier_benchma  libc.so.6              [.] epoll_ctl
     0.22%     0.21%  memtier_benchma  [kernel.kallsyms]      [k] unix_inq_len
     0.22%     0.00%  redis-server     [kernel.kallsyms]      [k] swap_readpage
     0.21%     0.20%  memtier_benchma  [kernel.kallsyms]      [k] check_stack_object
     0.21%     0.20%  memtier_benchma  [kernel.kallsyms]      [k] __put_user_nocheck_4
     0.21%     0.00%  swapper          [kernel.kallsyms]      [k] cpuidle_select
     0.20%     0.17%  memtier_benchma  [kernel.kallsyms]      [k] aa_sk_perm
     0.20%     0.01%  redis-server     [kernel.kallsyms]      [k] syscall_exit_to_user_mode
     0.20%     0.10%  swapper          [kernel.kallsyms]      [k] menu_select
     0.20%     0.17%  memtier_benchma  [kernel.kallsyms]      [k] entry_SYSCALL_64_safe_stack
     0.19%     0.00%  redis-server     [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     0.19%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] security_socket_recvmsg
     0.19%     0.00%  redis-server     [kernel.kallsyms]      [k] bdev_read_page
     0.19%     0.03%  redis-server     [kernel.kallsyms]      [k] enqueue_task_fair
     0.19%     0.00%  redis-server     [kernel.kallsyms]      [k] zram_rw_page
     0.18%     0.02%  redis-server     [kernel.kallsyms]      [k] skb_unlink
     0.18%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] _copy_from_user
     0.18%     0.18%  memtier_benchma  [kernel.kallsyms]      [k] skb_set_owner_w
     0.18%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] __cond_resched
     0.18%     0.00%  redis-server     [kernel.kallsyms]      [k] zram_bvec_rw.constprop.0
     0.18%     0.17%  redis-server     [kernel.kallsyms]      [k] slab_free_freelist_hook.constprop.0
     0.17%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] security_socket_sendmsg
     0.17%     0.14%  redis-server     [kernel.kallsyms]      [k] prep_compound_page
     0.17%     0.11%  redis-server     [kernel.kallsyms]      [k] obj_cgroup_uncharge_pages
     0.17%     0.01%  redis-server     [kernel.kallsyms]      [k] __zram_bvec_read.constprop.0
     0.17%     0.01%  redis-server     [kernel.kallsyms]      [k] refill_stock
     0.17%     0.00%  redis-server     [kernel.kallsyms]      [k] page_counter_uncharge
     0.17%     0.03%  redis-server     [kernel.kallsyms]      [k] __fget_light
     0.17%     0.08%  redis-server     [kernel.kallsyms]      [k] __mod_memcg_lruvec_state
     0.17%     0.01%  redis-server     [kernel.kallsyms]      [k] migrate_misplaced_page
     0.16%     0.04%  redis-server     [kernel.kallsyms]      [k] do_epoll_wait
     0.16%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] __ksize
     0.16%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] apparmor_socket_sendmsg
     0.16%     0.00%  swapper          [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     0.16%     0.00%  redis-server     [kernel.kallsyms]      [k] drain_stock
     0.15%     0.03%  redis-server     [kernel.kallsyms]      [k] psi_task_change
     0.15%     0.00%  swapper          [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.15%     0.10%  redis-server     [kernel.kallsyms]      [k] page_counter_cancel
     0.15%     0.04%  redis-server     [kernel.kallsyms]      [k] enqueue_entity
     0.15%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     0.15%     0.00%  redis-server     [kernel.kallsyms]      [k] crypto_comp_decompress
     0.15%     0.00%  redis-server     [kernel.kallsyms]      [k] zcomp_decompress
     0.15%     0.00%  redis-server     [kernel.kallsyms]      [k] lzorle_decompress
     0.15%     0.15%  redis-server     [kernel.kallsyms]      [k] lzo1x_decompress_safe
     0.14%     0.01%  redis-server     [kernel.kallsyms]      [k] migrate_pages
     0.14%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.14%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] clear_page_erms
     0.14%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] __check_heap_object
     0.14%     0.01%  swapper          [kernel.kallsyms]      [k] psi_task_switch
     0.14%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] apparmor_socket_recvmsg
     0.14%     0.01%  redis-server     [kernel.kallsyms]      [k] __fdget_pos
     0.14%     0.14%  redis-server     [kernel.kallsyms]      [k] _raw_read_unlock_irqrestore
     0.14%     0.11%  redis-server     [kernel.kallsyms]      [k] kernel_init_free_pages.part.0
     0.14%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] update_load_avg
     0.13%     0.01%  redis-server     [kernel.kallsyms]      [k] rw_verify_area
     0.13%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] ksize
     0.13%     0.13%  redis-server     [kernel.kallsyms]      [k] __fget_files
     0.13%     0.07%  redis-server     [kernel.kallsyms]      [k] __mod_memcg_state.part.0
     0.13%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] __mod_memcg_state.part.0
     0.12%     0.12%  redis-server     [kernel.kallsyms]      [k] page_counter_try_charge
     0.12%     0.01%  redis-server     [kernel.kallsyms]      [k] security_file_permission
     0.12%     0.03%  redis-server     [kernel.kallsyms]      [k] __entry_text_start
     0.12%     0.12%  redis-server     [kernel.kallsyms]      [k] psi_group_change
     0.12%     0.07%  redis-server     [kernel.kallsyms]      [k] numa_migrate_prep
     0.12%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] syscall_enter_from_user_mode
     0.12%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] free_pcp_prepare
     0.12%     0.11%  redis-server     [kernel.kallsyms]      [k] get_obj_cgroup_from_current
     0.12%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] _raw_read_unlock_irqrestore
     0.11%     0.10%  redis-server     [kernel.kallsyms]      [k] _copy_to_iter
     0.11%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] __mod_memcg_lruvec_state
     0.11%     0.11%  swapper          [kernel.kallsyms]      [k] psi_group_change
     0.11%     0.11%  redis-server     [kernel.kallsyms]      [k] __check_heap_object
     0.11%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] _copy_from_iter
     0.11%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] ep_done_scan
     0.11%     0.01%  redis-server     [kernel.kallsyms]      [k] skb_queue_tail
     0.11%     0.00%  kswapd1          [kernel.kallsyms]      [k] kswapd
     0.11%     0.00%  kswapd1          [kernel.kallsyms]      [k] kthread
     0.11%     0.00%  kswapd1          [kernel.kallsyms]      [k] ret_from_fork
     0.11%     0.00%  kswapd1          [kernel.kallsyms]      [k] balance_pgdat
     0.11%     0.00%  redis-server     [kernel.kallsyms]      [k] __sysvec_apic_timer_interrupt
     0.11%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] fpregs_assert_state_consistent
     0.10%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] __put_user_nocheck_8
     0.10%     0.10%  memtier_benchma  libc.so.6              [.] writev
     0.10%     0.10%  memtier_benchma  libc.so.6              [.] readv
     0.10%     0.10%  memtier_benchma  libc.so.6              [.] ioctl
     0.10%     0.00%  redis-server     [kernel.kallsyms]      [k] hrtimer_interrupt
     0.10%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] uncharge_page
     0.10%     0.10%  redis-server     [kernel.kallsyms]      [k] cgroup_rstat_updated
     0.10%     0.01%  redis-server     [kernel.kallsyms]      [k] syscall_enter_from_user_mode
     0.10%     0.08%  redis-server     [kernel.kallsyms]      [k] apparmor_file_permission
     0.10%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] rcu_all_qs
     0.09%     0.09%  redis-server     [kernel.kallsyms]      [k] mutex_lock
     0.09%     0.00%  redis-server     [kernel.kallsyms]      [k] __hrtimer_run_queues
     0.09%     0.05%  swapper          [kernel.kallsyms]      [k] switch_mm_irqs_off
     0.09%     0.01%  swapper          [kernel.kallsyms]      [k] pick_next_task_fair
     0.09%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] psi_task_switch
     0.09%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __sysvec_apic_timer_interrupt
     0.09%     0.00%  kswapd1          [kernel.kallsyms]      [k] shrink_node
     0.09%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] hrtimer_interrupt
