# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 484K of event 'cycles'
# Event count (approx.): 18141146334815
#
# Children      Self  Command          Shared Object             Symbol                                                                
# ........  ........  ...............  ........................  ......................................................................
#
     0.60%     0.02%  memtier_benchma  [kernel.kallsyms]         [k] kmalloc_reserve
     0.60%     0.08%  memcached        [kernel.kallsyms]         [k] dequeue_entity
     0.59%     0.40%  memcached        [kernel.kallsyms]         [k] kmem_cache_free
     0.59%     0.59%  memcached        [kernel.kallsyms]         [k] __default_send_IPI_dest_field
     0.59%     0.14%  swapper          [kernel.kallsyms]         [k] flush_smp_call_function_queue
     0.59%     0.00%  swapper          [kernel.kallsyms]         [k] __sysvec_call_function
     0.58%     0.30%  memtier_benchma  [kernel.kallsyms]         [k] __kmalloc_node_track_caller
     0.58%     0.10%  memcached        [kernel.kallsyms]         [k] syscall_exit_work
     0.57%     0.08%  memtier_benchma  [kernel.kallsyms]         [k] dequeue_entity
     0.57%     0.35%  swapper          [kernel.kallsyms]         [k] __switch_to
     0.56%     0.20%  swapper          [kernel.kallsyms]         [k] set_next_entity
     0.55%     0.42%  memcached        [kernel.kallsyms]         [k] page_counter_try_charge
     0.54%     0.43%  memcached        [kernel.kallsyms]         [k] lzo1x_1_do_compress
     0.54%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] __x64_sys_epoll_ctl
     0.53%     0.11%  swapper          [kernel.kallsyms]         [k] tick_nohz_next_event
     0.52%     0.26%  swapper          [kernel.kallsyms]         [k] ktime_get
     0.52%     0.26%  memcached        [kernel.kallsyms]         [k] __switch_to
     0.52%     0.51%  memcached        [kernel.kallsyms]         [k] propagate_protected_usage
     0.51%     0.00%  swapper          [kernel.kallsyms]         [k] start_kernel
     0.51%     0.13%  swapper          [kernel.kallsyms]         [k] finish_task_switch.isra.0
     0.51%     0.31%  memcached        [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.51%     0.51%  memcached        [kernel.kallsyms]         [k] llist_reverse_order
     0.51%     0.50%  memtier_benchma  [kernel.kallsyms]         [k] copy_user_generic_string
     0.50%     0.02%  memtier_benchma  [kernel.kallsyms]         [k] unix_stream_read_actor
     0.50%     0.49%  memtier_benchma  [kernel.kallsyms]         [k] get_obj_cgroup_from_current
     0.50%     0.00%  memcached        [kernel.kallsyms]         [k] page_check_references.isra.0
     0.49%     0.00%  memcached        [kernel.kallsyms]         [k] page_referenced
     0.49%     0.01%  memtier_benchma  [kernel.kallsyms]         [k] skb_copy_datagram_iter
     0.49%     0.03%  memcached        [kernel.kallsyms]         [k] swap_range_free
     0.47%     0.28%  memcached        [kernel.kallsyms]         [k] update_load_avg
     0.47%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] __skb_datagram_iter
     0.47%     0.27%  memcached        [kernel.kallsyms]         [k] __audit_syscall_exit
     0.46%     0.24%  memtier_benchma  [kernel.kallsyms]         [k] update_load_avg
     0.46%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] __x64_sys_ioctl
     0.45%     0.06%  memcached        [kernel.kallsyms]         [k] zram_slot_free_notify
     0.44%     0.13%  memcached        [kernel.kallsyms]         [k] ep_item_poll.isra.0
     0.43%     0.08%  memtier_benchma  [kernel.kallsyms]         [k] ep_item_poll.isra.0
     0.43%     0.07%  memcached        [kernel.kallsyms]         [k] ttwu_do_wakeup
     0.43%     0.43%  memcached        memcached                 [.] 0x000000000001d9ad
     0.42%     0.07%  memtier_benchma  [kernel.kallsyms]         [k] ttwu_do_wakeup
     0.41%     0.00%  kswapd0          [kernel.kallsyms]         [k] page_check_references.isra.0
     0.41%     0.01%  swapper          [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     0.41%     0.00%  kswapd0          [kernel.kallsyms]         [k] page_referenced
     0.41%     0.33%  memcached        [kernel.kallsyms]         [k] zs_map_object
     0.41%     0.00%  kswapd0          [kernel.kallsyms]         [k] age_active_anon
     0.41%     0.00%  kswapd0          [kernel.kallsyms]         [k] age_lruvec
     0.41%     0.00%  kswapd0          [kernel.kallsyms]         [k] try_to_inc_max_seq
     0.41%     0.00%  kswapd0          [kernel.kallsyms]         [k] walk_mm
     0.40%     0.00%  kswapd0          [kernel.kallsyms]         [k] add_to_swap
     0.40%     0.01%  kswapd0          [kernel.kallsyms]         [k] walk_pmd_range
     0.40%     0.00%  kswapd0          [kernel.kallsyms]         [k] __walk_page_range
     0.40%     0.00%  kswapd0          [kernel.kallsyms]         [k] walk_p4d_range
     0.40%     0.00%  kswapd0          [kernel.kallsyms]         [k] walk_page_range
     0.40%     0.00%  kswapd0          [kernel.kallsyms]         [k] walk_pgd_range
     0.40%     0.00%  kswapd0          [kernel.kallsyms]         [k] walk_pud_range
     0.40%     0.31%  memcached        [kernel.kallsyms]         [k] xas_load
     0.40%     0.02%  memcached        [kernel.kallsyms]         [k] skb_release_head_state
     0.40%     0.00%  swapper          [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     0.39%     0.03%  memcached        [kernel.kallsyms]         [k] zram_free_page
     0.39%     0.08%  memtier_benchma  [kernel.kallsyms]         [k] do_epoll_ctl
     0.39%     0.34%  memcached        [kernel.kallsyms]         [k] get_obj_cgroup_from_current
     0.38%     0.03%  memcached        [kernel.kallsyms]         [k] unix_destruct_scm
     0.38%     0.02%  memcached        [kernel.kallsyms]         [k] mem_cgroup_swapin_charge_page
     0.37%     0.02%  swapper          [kernel.kallsyms]         [k] sched_clock_cpu
     0.36%     0.01%  memcached        [kernel.kallsyms]         [k] page_referenced_one
     0.36%     0.07%  memcached        [kernel.kallsyms]         [k] check_preempt_curr
     0.36%     0.07%  memtier_benchma  [kernel.kallsyms]         [k] check_preempt_curr
     0.36%     0.17%  memtier_benchma  [kernel.kallsyms]         [k] sock_poll
     0.35%     0.24%  memtier_benchma  [kernel.kallsyms]         [k] mod_objcg_state
     0.35%     0.27%  memcached        [kernel.kallsyms]         [k] llist_add_batch
     0.35%     0.05%  memcached        [kernel.kallsyms]         [k] sock_wfree
     0.35%     0.02%  memcached        [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     0.34%     0.34%  swapper          [kernel.kallsyms]         [k] native_sched_clock
     0.34%     0.01%  memcached        [kernel.kallsyms]         [k] __pagevec_lru_add
     0.34%     0.02%  memcached        [kernel.kallsyms]         [k] lookup_swap_cache
     0.34%     0.12%  memtier_benchma  [kernel.kallsyms]         [k] __check_object_size.part.0
     0.34%     0.34%  swapper          [kernel.kallsyms]         [k] get_typical_interval
     0.34%     0.01%  memcached        [kernel.kallsyms]         [k] lru_cache_add
     0.33%     0.00%  memcached        [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     0.33%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] skb_copy_datagram_from_iter
     0.33%     0.24%  swapper          [kernel.kallsyms]         [k] poll_idle
     0.32%     0.06%  memcached        [kernel.kallsyms]         [k] _raw_spin_lock_irq
     0.32%     0.02%  memtier_benchma  [kernel.kallsyms]         [k] skb_release_head_state
     0.32%     0.17%  swapper          [kernel.kallsyms]         [k] update_load_avg
     0.32%     0.03%  kswapd0          [kernel.kallsyms]         [k] get_swap_page
     0.31%     0.00%  memcached        [kernel.kallsyms]         [k] pagecache_get_page
     0.31%     0.01%  memcached        [kernel.kallsyms]         [k] zs_malloc
     0.31%     0.16%  memcached        [kernel.kallsyms]         [k] mod_objcg_state
     0.31%     0.04%  swapper          [kernel.kallsyms]         [k] hrtimer_next_event_without
     0.31%     0.01%  kswapd0          [kernel.kallsyms]         [k] page_referenced_one
     0.31%     0.01%  memcached        [kernel.kallsyms]         [k] mapping_get_entry
     0.31%     0.03%  memtier_benchma  [kernel.kallsyms]         [k] unix_destruct_scm
     0.30%     0.08%  memtier_benchma  [kernel.kallsyms]         [k] __fget_light
     0.30%     0.30%  memcached        [kernel.kallsyms]         [k] update_cfs_group
     0.30%     0.15%  memcached        [kernel.kallsyms]         [k] sock_poll
     0.30%     0.00%  memcached        [kernel.kallsyms]         [k] add_to_swap
     0.30%     0.10%  memcached        [kernel.kallsyms]         [k] zs_free
     0.29%     0.00%  memcached        [kernel.kallsyms]         [k] __sysvec_apic_timer_interrupt
     0.29%     0.00%  memcached        [kernel.kallsyms]         [k] hrtimer_interrupt
     0.29%     0.29%  memcached        libc-2.28.so              [.] epoll_wait
     0.29%     0.00%  swapper          [kernel.kallsyms]         [k] __sysvec_apic_timer_interrupt
     0.29%     0.29%  swapper          [kernel.kallsyms]         [k] load_new_mm_cr3
     0.29%     0.00%  swapper          [kernel.kallsyms]         [k] hrtimer_interrupt
     0.29%     0.04%  memcached        [kernel.kallsyms]         [k] unix_write_space
     0.29%     0.05%  memcached        [kernel.kallsyms]         [k] select_idle_sibling
     0.29%     0.00%  memcached        [kernel.kallsyms]         [k] try_to_unmap
     0.29%     0.04%  memtier_benchma  [kernel.kallsyms]         [k] do_vfs_ioctl
     0.28%     0.28%  memtier_benchma  [kernel.kallsyms]         [k] __entry_text_start
     0.28%     0.27%  memcached        [kernel.kallsyms]         [k] __list_del_entry_valid
     0.28%     0.09%  memcached        [kernel.kallsyms]         [k] __mod_memcg_lruvec_state
     0.28%     0.25%  kswapd0          [kernel.kallsyms]         [k] walk_pte_range.isra.0
     0.27%     0.06%  memtier_benchma  [kernel.kallsyms]         [k] sock_wfree
     0.27%     0.25%  kswapd0          [kernel.kallsyms]         [k] native_flush_tlb_multi
     0.27%     0.27%  memtier_benchma  [kernel.kallsyms]         [k] _raw_spin_lock_irqsave
     0.27%     0.00%  memcached        [kernel.kallsyms]         [k] __hrtimer_run_queues
     0.27%     0.00%  memcached        [kernel.kallsyms]         [k] __run_hrtimer
     0.27%     0.00%  kswapd0          [kernel.kallsyms]         [k] try_to_unmap
     0.27%     0.23%  memtier_benchma  [kernel.kallsyms]         [k] asm_sysvec_reschedule_ipi
     0.27%     0.19%  memcached        [kernel.kallsyms]         [k] native_flush_tlb_multi
     0.26%     0.01%  memcached        [kernel.kallsyms]         [k] clear_shadow_from_swap_cache
     0.26%     0.25%  memcached        [kernel.kallsyms]         [k] __slab_free
     0.26%     0.14%  memtier_benchma  [kernel.kallsyms]         [k] update_curr
     0.26%     0.26%  memcached        [kernel.kallsyms]         [k] __switch_to_xtra
     0.26%     0.00%  memcached        [kernel.kallsyms]         [k] tick_sched_timer
     0.26%     0.26%  swapper          [kernel.kallsyms]         [k] read_tsc
