# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 922  of event 'cycles'
# Event count (approx.): 861085004612
#
# Children      Self  Command     Shared Object      Symbol                                        
# ........  ........  ..........  .................  ..............................................
#
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] rmap_walk_anon
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] try_to_migrate
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] try_to_migrate_one
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] isolate_lru_page
     0.01%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] lock_page_lruvec_irq
     0.01%     0.01%  tclsh8.6    [kernel.kallsyms]  [k] lock_page_memcg
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __schedule
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] futex_wait_queue_me
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] schedule
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] down_read_trylock
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] nmi_restore
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] llist_reverse_order
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __sysvec_call_function
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] asm_sysvec_call_function
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] generic_smp_call_function_single_interrupt
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] sysvec_call_function
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] fold_diff
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] quiet_vmstat
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] refresh_cpu_vm_stats
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] tick_nohz_idle_stop_tick
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] acpi_os_read_memory
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] futex_wake
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] native_sched_clock
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] memcpy_fromio
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __mod_zone_page_state
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __free_one_page
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] free_pages_and_swap_cache
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] free_unref_page_list
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] release_pages
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] tlb_flush_mmu
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] tick_sched_handle
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] tick_sched_timer
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] update_process_times
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] ghes_notify_nmi
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] scheduler_tick
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] native_set_fixmap
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] irqentry_nmi_exit
     0.00%     0.00%  tclsh8.6    [unknown]          [.] 0000000000000000
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] ghes_copy_tofrom_phys
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] end_repeat_nmi
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] numa_migrate_prep
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] mpol_misplaced
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] fill_pmd
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] __softirqentry_text_start
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] p4d_offset
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] fill_pud
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] psi_group_change
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] __queue_work
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] __run_timers.part.0
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] call_timer_fn
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] delayed_work_timer_fn
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] enqueue_task
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] insert_work
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] psi_task_change
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] run_timer_softirq
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] try_to_wake_up
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] ttwu_do_activate
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] wake_up_process
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] _raw_spin_lock
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] page_remove_rmap
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] lapic_next_deadline
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] clockevents_program_event
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] tick_program_event
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] find_vma
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] apei_check_gar
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] cgroup_rstat_flush_locked
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] __do_fault
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] __handle_mm_fault
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] asm_exc_page_fault
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] cgroup_rstat_flush_irqsafe
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] do_page_cache_ra
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] do_user_addr_fault
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] exc_page_fault
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] filemap_fault
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] handle_mm_fault
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] mem_cgroup_flush_stats
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] page_cache_ra_unbounded
     0.00%     0.00%  python3     [kernel.kallsyms]  [k] workingset_refault
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] __d_free
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] kmem_cache_free
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] rcu_core
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] rcu_core_si
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] slab_free_freelist_hook.constprop.0
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] account_process_tick
     0.00%     0.00%  swapper     [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __perf_event_header__init_id
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] __x64_sys_exit
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] perf_event_exit_task
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] perf_event_task
     0.00%     0.00%  tclsh8.6    [kernel.kallsyms]  [k] perf_iterate_sb
     0.00%     0.00%  perf        [kernel.kallsyms]  [k] perf_sample_event_took
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] _atomic_dec_and_lock_irqsave
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] arch_do_signal_or_restart
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] collect_signal
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] dec_rlimit_put_ucounts
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] dequeue_signal
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] do_dec_rlimit_put_ucounts
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] do_syscall_64
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] get_signal
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] put_ucounts
     0.00%     0.00%  bash        [kernel.kallsyms]  [k] syscall_exit_to_user_mode


#
# (Cannot load tips.txt file, please install perf!)
#
