# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 25143269676548
#
# Children      Self  Command          Shared Object          Symbol                                          
# ........  ........  ...............  .....................  ................................................
#
     9.17%     0.03%  redis-server     [kernel.kallsyms]      [k] exc_page_fault
     8.97%     0.08%  redis-server     [kernel.kallsyms]      [k] do_user_addr_fault
     8.73%     0.08%  redis-server     [kernel.kallsyms]      [k] sock_alloc_send_pskb
     8.72%     0.10%  redis-server     [kernel.kallsyms]      [k] handle_mm_fault
     8.66%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] sock_alloc_send_pskb
     8.56%     0.06%  redis-server     [kernel.kallsyms]      [k] alloc_skb_with_frags
     8.47%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] alloc_skb_with_frags
     8.35%     0.36%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_skb
     8.18%     0.60%  redis-server     [kernel.kallsyms]      [k] __handle_mm_fault
     7.31%     0.08%  redis-server     [kernel.kallsyms]      [k] __alloc_pages
     7.02%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] consume_skb
     6.68%     0.06%  redis-server     [kernel.kallsyms]      [k] alloc_pages
     5.96%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] skb_release_data
     5.82%     0.02%  redis-server     [kernel.kallsyms]      [k] do_swap_page
     5.62%     0.01%  redis-server     [kernel.kallsyms]      [k] __x64_sys_read
     5.61%     0.57%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_alloc_node
     5.61%     0.01%  redis-server     [kernel.kallsyms]      [k] ksys_read
     5.55%     0.02%  redis-server     [kernel.kallsyms]      [k] vfs_read
     5.48%     0.02%  redis-server     [kernel.kallsyms]      [k] new_sync_read
     5.46%     0.02%  redis-server     [kernel.kallsyms]      [k] sock_read_iter
     5.44%     0.01%  redis-server     [kernel.kallsyms]      [k] sock_recvmsg
     5.41%     0.03%  redis-server     [kernel.kallsyms]      [k] unix_stream_recvmsg
     5.14%     0.32%  redis-server     [kernel.kallsyms]      [k] unix_stream_read_generic
     4.47%     0.45%  redis-server     [kernel.kallsyms]      [k] get_page_from_freelist
     4.26%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] unix_stream_read_actor
     4.24%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] skb_copy_datagram_iter
     4.20%     0.23%  memtier_benchma  [kernel.kallsyms]      [k] __skb_datagram_iter
     4.11%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge
     3.95%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] simple_copy_to_iter
     3.73%     0.08%  redis-server     [kernel.kallsyms]      [k] consume_skb
     3.62%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_uncharge
     3.30%     3.28%  memtier_benchma  [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     3.29%     0.31%  memtier_benchma  [kernel.kallsyms]      [k] refill_obj_stock
     3.22%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_charge_pages
     3.19%     0.03%  redis-server     [kernel.kallsyms]      [k] workingset_refault
     3.12%     2.19%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_cancel
     3.11%     0.53%  memtier_benchma  [kernel.kallsyms]      [k] try_charge_memcg
     3.11%     0.00%  redis-server     [kernel.kallsyms]      [k] mem_cgroup_flush_stats
     3.11%     0.00%  redis-server     [kernel.kallsyms]      [k] cgroup_rstat_flush_irqsafe
     3.02%     3.01%  redis-server     [kernel.kallsyms]      [k] clear_page_erms
     3.02%     0.56%  redis-server     [kernel.kallsyms]      [k] cgroup_rstat_flush_locked
     2.97%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] kfree
     2.96%     0.25%  memtier_benchma  [kernel.kallsyms]      [k] memcg_slab_free_hook
     2.93%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] skb_free_head
     2.91%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] __put_page
     2.74%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_ctl
     2.61%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] refill_stock
     2.55%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] drain_stock
     2.52%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_uncharge
     2.39%     2.38%  memtier_benchma  [kernel.kallsyms]      [k] propagate_protected_usage
     2.10%     0.05%  memtier_benchma  [kernel.kallsyms]      [k] obj_cgroup_uncharge_pages
     2.08%     0.11%  redis-server     [kernel.kallsyms]      [k] __alloc_skb
     2.06%     0.71%  memtier_benchma  [kernel.kallsyms]      [k] do_epoll_ctl
     1.92%     1.92%  redis-server     [kernel.kallsyms]      [k] mem_cgroup_css_rstat_flush
     1.86%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] free_compound_page
     1.84%     1.07%  memtier_benchma  [kernel.kallsyms]      [k] page_counter_try_charge
     1.82%     0.84%  memtier_benchma  [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     1.76%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     1.74%     0.01%  redis-server     [kernel.kallsyms]      [k] zram_rw_page
     1.72%     0.01%  redis-server     [kernel.kallsyms]      [k] __alloc_pages_slowpath.constprop.0
     1.70%     0.06%  redis-server     [kernel.kallsyms]      [k] zram_bvec_rw.constprop.0
     1.59%     0.11%  memtier_benchma  [kernel.kallsyms]      [k] __mem_cgroup_uncharge
     1.55%     0.22%  redis-server     [kernel.kallsyms]      [k] skb_release_data
     1.53%     0.00%  redis-server     [kernel.kallsyms]      [k] swap_readpage
     1.53%     0.85%  redis-server     [kernel.kallsyms]      [k] memcg_slab_free_hook
     1.47%     0.25%  memtier_benchma  [kernel.kallsyms]      [k] do_epoll_wait
     1.45%     0.00%  redis-server     [kernel.kallsyms]      [k] bdev_read_page
     1.44%     0.45%  redis-server     [kernel.kallsyms]      [k] __memcg_kmem_charge_page
     1.42%     0.05%  redis-server     [kernel.kallsyms]      [k] migrate_misplaced_page
     1.40%     0.01%  redis-server     [kernel.kallsyms]      [k] __wake_up_sync_key
     1.40%     0.03%  redis-server     [kernel.kallsyms]      [k] __zram_bvec_read.constprop.0
     1.39%     0.03%  redis-server     [kernel.kallsyms]      [k] __wake_up_common_lock
     1.36%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] uncharge_batch
     1.33%     0.01%  redis-server     [kernel.kallsyms]      [k] skb_free_head
     1.33%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] free_unref_page
     1.32%     0.05%  redis-server     [kernel.kallsyms]      [k] kfree
     1.31%     0.00%  redis-server     [kernel.kallsyms]      [k] zcomp_decompress
     1.30%     0.00%  redis-server     [kernel.kallsyms]      [k] lzorle_decompress
     1.30%     0.00%  redis-server     [kernel.kallsyms]      [k] crypto_comp_decompress
     1.30%     1.29%  redis-server     [kernel.kallsyms]      [k] lzo1x_decompress_safe
     1.30%     0.17%  redis-server     [kernel.kallsyms]      [k] migrate_pages
     1.21%     0.04%  redis-server     [kernel.kallsyms]      [k] skb_copy_datagram_from_iter
     1.17%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] free_unref_page_commit.constprop.0
     1.17%     0.07%  redis-server     [kernel.kallsyms]      [k] __wake_up_common
     1.16%     0.00%  redis-server     [kernel.kallsyms]      [k] try_to_free_pages
     1.16%     0.00%  redis-server     [kernel.kallsyms]      [k] do_try_to_free_pages
     1.16%     0.00%  redis-server     [kernel.kallsyms]      [k] shrink_node
     1.14%     0.00%  redis-server     [kernel.kallsyms]      [k] shrink_lruvec
     1.13%     0.55%  redis-server     [kernel.kallsyms]      [k] obj_cgroup_charge_pages
     1.10%     0.30%  redis-server     [kernel.kallsyms]      [k] __kmalloc_node_track_caller
     1.10%     0.31%  memtier_benchma  [kernel.kallsyms]      [k] free_pcppages_bulk
     1.09%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_sync_key
     1.09%     0.16%  memtier_benchma  [kernel.kallsyms]      [k] sock_def_readable
     1.09%     0.22%  memtier_benchma  [kernel.kallsyms]      [k] __fget_light
     1.08%     0.01%  redis-server     [kernel.kallsyms]      [k] skb_release_head_state
     1.08%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_common_lock
     1.07%     0.03%  redis-server     [kernel.kallsyms]      [k] unix_destruct_scm
     1.06%     0.63%  redis-server     [kernel.kallsyms]      [k] _raw_spin_lock
     1.06%     1.05%  redis-server     [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     1.03%     0.41%  redis-server     [kernel.kallsyms]      [k] sock_wfree
     1.02%     0.10%  redis-server     [kernel.kallsyms]      [k] kmem_cache_free
     1.02%     0.01%  redis-server     [kernel.kallsyms]      [k] kfree_skbmem
     1.02%     0.01%  redis-server     [kernel.kallsyms]      [k] shrink_page_list
     1.01%     0.23%  redis-server     [kernel.kallsyms]      [k] ep_poll_callback
     0.96%     0.06%  redis-server     [kernel.kallsyms]      [k] sock_def_readable
     0.96%     0.53%  memtier_benchma  [kernel.kallsyms]      [k] __check_object_size
     0.96%     0.94%  memtier_benchma  [kernel.kallsyms]      [k] get_obj_cgroup_from_current
     0.93%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] __x64_sys_ioctl
     0.92%     0.44%  memtier_benchma  [kernel.kallsyms]      [k] _raw_spin_lock
     0.89%     0.60%  memtier_benchma  [kernel.kallsyms]      [k] drain_obj_stock
     0.88%     0.86%  memtier_benchma  [kernel.kallsyms]      [k] __fget_files
     0.85%     0.02%  redis-server     [kernel.kallsyms]      [k] unix_stream_read_actor
     0.83%     0.40%  redis-server     [kernel.kallsyms]      [k] mod_objcg_state
     0.83%     0.02%  redis-server     [kernel.kallsyms]      [k] skb_copy_datagram_iter
     0.82%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] __wake_up_common
     0.81%     0.03%  redis-server     [kernel.kallsyms]      [k] __skb_datagram_iter
     0.79%     0.33%  memtier_benchma  [kernel.kallsyms]      [k] __entry_text_start
     0.77%     0.01%  redis-server     [kernel.kallsyms]      [k] simple_copy_to_iter
     0.73%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] __fdget
     0.73%     0.20%  memtier_benchma  [kernel.kallsyms]      [k] ep_poll_callback
     0.72%     0.00%  swapper          [kernel.kallsyms]      [k] arch_call_rest_init
     0.72%     0.00%  swapper          [kernel.kallsyms]      [k] rest_init
     0.72%     0.00%  swapper          [kernel.kallsyms]      [k] start_kernel
     0.72%     0.00%  swapper          [kernel.kallsyms]      [k] x86_64_start_kernel
     0.72%     0.00%  swapper          [kernel.kallsyms]      [k] x86_64_start_reservations
     0.72%     0.49%  redis-server     [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.71%     0.38%  redis-server     [kernel.kallsyms]      [k] try_charge_memcg
     0.70%     0.70%  redis-server     [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath
     0.69%     0.35%  redis-server     [kernel.kallsyms]      [k] rmqueue_bulk
     0.64%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] import_iovec
     0.63%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] do_vfs_ioctl
     0.62%     0.12%  redis-server     [kernel.kallsyms]      [k] unix_write_space
     0.61%     0.61%  memtier_benchma  [kernel.kallsyms]      [k] native_queued_spin_lock_slowpath
     0.60%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] sock_ioctl
     0.60%     0.47%  memtier_benchma  [kernel.kallsyms]      [k] _raw_spin_lock_irqsave
     0.60%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] ___slab_alloc
     0.60%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] ep_item_poll.isra.0
     0.57%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] __import_iovec
     0.57%     0.32%  memtier_benchma  [kernel.kallsyms]      [k] sock_poll
     0.57%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] schedule_hrtimeout_range
     0.56%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] rw_verify_area
     0.56%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] schedule_hrtimeout_range_clock
     0.56%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] schedule
     0.53%     0.52%  memtier_benchma  [kernel.kallsyms]      [k] _raw_read_lock_irqsave
     0.52%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] kfree_skbmem
     0.52%     0.06%  memtier_benchma  [kernel.kallsyms]      [k] __schedule
     0.52%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] kmem_cache_free
     0.52%     0.00%  redis-server     [kernel.kallsyms]      [k] alloc_pages_vma
     0.52%     0.46%  redis-server     [kernel.kallsyms]      [k] __slab_free
     0.51%     0.46%  memtier_benchma  [kernel.kallsyms]      [k] mutex_lock
     0.50%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] new_slab
     0.50%     0.00%  redis-server     [kernel.kallsyms]      [k] rmap_walk
     0.50%     0.10%  memtier_benchma  [kernel.kallsyms]      [k] syscall_exit_to_user_mode
     0.48%     0.00%  redis-server     [kernel.kallsyms]      [k] __wake_up
     0.48%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_pages
     0.47%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] skb_copy_datagram_from_iter
     0.47%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] alloc_pages
     0.47%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] iovec_from_user
     0.46%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] security_file_permission
     0.46%     0.45%  redis-server     [kernel.kallsyms]      [k] blkcg_rstat_flush
     0.46%     0.00%  redis-server     [kernel.kallsyms]      [k] move_to_new_page
     0.45%     0.12%  redis-server     [kernel.kallsyms]      [k] kmem_cache_alloc_node
     0.45%     0.00%  redis-server     [kernel.kallsyms]      [k] migrate_page
     0.45%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] sock_do_ioctl
     0.45%     0.00%  redis-server     [kernel.kallsyms]      [k] autoremove_wake_function
     0.44%     0.44%  redis-server     [kernel.kallsyms]      [k] copy_user_generic_unrolled
     0.44%     0.00%  redis-server     [kernel.kallsyms]      [k] default_wake_function
     0.44%     0.04%  redis-server     [kernel.kallsyms]      [k] rmap_walk_anon
     0.44%     0.20%  memtier_benchma  [kernel.kallsyms]      [k] mod_objcg_state
     0.44%     0.01%  redis-server     [kernel.kallsyms]      [k] try_to_wake_up
     0.43%     0.16%  redis-server     [kernel.kallsyms]      [k] cgroup_rstat_updated
     0.41%     0.21%  memtier_benchma  [kernel.kallsyms]      [k] __mod_memcg_state.part.0
     0.41%     0.40%  redis-server     [kernel.kallsyms]      [k] sync_regs
     0.40%     0.09%  memtier_benchma  [kernel.kallsyms]      [k] unix_ioctl
     0.40%     0.38%  memtier_benchma  [kernel.kallsyms]      [k] fput
     0.39%     0.39%  redis-server     redis-check-rdb        [.] stringObjectLen
     0.39%     0.33%  memtier_benchma  [kernel.kallsyms]      [k] apparmor_file_permission
     0.39%     0.28%  memtier_benchma  [kernel.kallsyms]      [k] exit_to_user_mode_prepare
     0.38%     0.15%  redis-server     [kernel.kallsyms]      [k] __mod_memcg_state.part.0
     0.37%     0.36%  memtier_benchma  [kernel.kallsyms]      [k] __free_one_page
     0.37%     0.35%  memtier_benchma  [kernel.kallsyms]      [k] copy_user_generic_unrolled
     0.36%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] skb_release_head_state
     0.36%     0.36%  redis-server     [kernel.kallsyms]      [k] memset_erms
     0.36%     0.10%  redis-server     [kernel.kallsyms]      [k] __mod_memcg_lruvec_state
     0.36%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] unix_destruct_scm
     0.35%     0.00%  kswapd0          [kernel.kallsyms]      [k] shrink_node
     0.35%     0.00%  kswapd0          [kernel.kallsyms]      [k] balance_pgdat
     0.35%     0.00%  kswapd0          [kernel.kallsyms]      [k] kswapd
     0.35%     0.00%  kswapd0          [kernel.kallsyms]      [k] kthread
     0.35%     0.00%  kswapd0          [kernel.kallsyms]      [k] ret_from_fork
     0.35%     0.14%  memtier_benchma  [kernel.kallsyms]      [k] cgroup_rstat_updated
     0.35%     0.07%  redis-server     [kernel.kallsyms]      [k] ___slab_alloc
     0.35%     0.00%  redis-server     [kernel.kallsyms]      [k] pageout
     0.34%     0.06%  redis-server     [kernel.kallsyms]      [k] exit_to_user_mode_prepare
     0.34%     0.00%  kswapd0          [kernel.kallsyms]      [k] shrink_lruvec
     0.34%     0.00%  redis-server     [kernel.kallsyms]      [k] swap_writepage
     0.33%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] __alloc_pages_slowpath.constprop.0
     0.33%     0.13%  memtier_benchma  [kernel.kallsyms]      [k] sock_wfree
     0.32%     0.00%  redis-server     [kernel.kallsyms]      [k] __swap_writepage
     0.32%     0.00%  redis-server     [kernel.kallsyms]      [k] bdev_write_page
     0.31%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] do_try_to_free_pages
     0.31%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] shrink_node
     0.31%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] try_to_free_pages
     0.31%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] shrink_lruvec
     0.30%     0.30%  redis-server     [kernel.kallsyms]      [k] _raw_read_lock_irqsave
     0.30%     0.00%  redis-server     [kernel.kallsyms]      [k] page_counter_uncharge
     0.30%     0.01%  kswapd0          [kernel.kallsyms]      [k] shrink_page_list
     0.30%     0.00%  swapper          [kernel.kallsyms]      [k] schedule_idle
     0.29%     0.08%  memtier_benchma  [kernel.kallsyms]      [k] __mod_memcg_lruvec_state
     0.28%     0.05%  swapper          [kernel.kallsyms]      [k] __schedule
     0.28%     0.28%  memtier_benchma  [kernel.kallsyms]      [k] syscall_return_via_sysret
     0.28%     0.20%  memtier_benchma  [kernel.kallsyms]      [k] rcu_read_unlock_strict
     0.28%     0.00%  memtier_benchma  [kernel.kallsyms]      [k] shrink_page_list
     0.28%     0.27%  memtier_benchma  [kernel.kallsyms]      [k] __virt_addr_valid
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] __writeback_inodes_wb
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] __writeback_single_inode
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] do_writepages
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] ext4_writepages
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] kthread
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] process_one_work
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] ret_from_fork
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] wb_workfn
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] wb_writeback
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] worker_thread
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] writeback_sb_inodes
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] mpage_submit_page
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] ___slab_alloc
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] __alloc_pages
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] __alloc_pages_slowpath.constprop.0
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] alloc_pages
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] do_try_to_free_pages
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] kmem_cache_alloc
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] new_slab
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] shrink_node
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] try_to_free_pages
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] bio_alloc_bioset
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] bvec_alloc
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] ext4_bio_write_page
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] mempool_alloc
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] mempool_alloc_slab
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] mpage_prepare_extent_to_map
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] mpage_process_page_bufs
     0.27%     0.00%  kworker/u98:2-f  [kernel.kallsyms]      [k] shrink_lruvec
     0.27%     0.07%  redis-server     [kernel.kallsyms]      [k] refill_obj_stock
     0.27%     0.00%  redis-server     [kernel.kallsyms]      [k] task_work_run
     0.27%     0.00%  redis-server     [kernel.kallsyms]      [k] task_numa_work
     0.27%     0.00%  redis-server     [kernel.kallsyms]      [k] change_prot_numa
     0.26%     0.01%  redis-server     [kernel.kallsyms]      [k] new_slab
     0.26%     0.12%  redis-server     [kernel.kallsyms]      [k] __check_object_size
     0.26%     0.21%  redis-server     [kernel.kallsyms]      [k] page_counter_cancel
     0.26%     0.14%  redis-server     [kernel.kallsyms]      [k] rcu_read_unlock_strict
     0.25%     0.04%  memtier_benchma  [kernel.kallsyms]      [k] __fdget_pos
     0.25%     0.04%  redis-server     [kernel.kallsyms]      [k] obj_cgroup_charge
     0.25%     0.17%  memtier_benchma  [kernel.kallsyms]      [k] __slab_free
     0.25%     0.00%  redis-server     [kernel.kallsyms]      [k] swap_free
     0.25%     0.24%  memtier_benchma  [kernel.kallsyms]      [k] unix_poll
     0.24%     0.24%  memtier_benchma  [kernel.kallsyms]      [k] mutex_unlock
     0.24%     0.12%  memtier_benchma  [kernel.kallsyms]      [k] __build_skb_around
     0.24%     0.01%  redis-server     [kernel.kallsyms]      [k] obj_cgroup_uncharge
     0.24%     0.07%  redis-server     [kernel.kallsyms]      [k] __count_memcg_events
     0.24%     0.00%  redis-server     [kernel.kallsyms]      [k] __swap_entry_free
     0.24%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] dequeue_task
     0.24%     0.00%  redis-server     [kernel.kallsyms]      [k] free_swap_slot
     0.24%     0.24%  redis-server     [kernel.kallsyms]      [k] copy_page
     0.23%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] dequeue_task_fair
     0.23%     0.00%  redis-server     [kernel.kallsyms]      [k] ttwu_do_activate
     0.23%     0.22%  memtier_benchma  [kernel.kallsyms]      [k] _raw_write_lock_irq
     0.23%     0.00%  redis-server     [kernel.kallsyms]      [k] swapcache_free_entries
     0.23%     0.00%  redis-server     [kernel.kallsyms]      [k] __put_page
     0.22%     0.21%  redis-server     [kernel.kallsyms]      [k] change_protection
     0.22%     0.00%  redis-server     [kernel.kallsyms]      [k] enqueue_task
     0.21%     0.00%  redis-server     [kernel.kallsyms]      [k] alloc_misplaced_dst_page
     0.21%     0.00%  redis-server     [kernel.kallsyms]      [k] migrate_page_copy
     0.21%     0.01%  memtier_benchma  [kernel.kallsyms]      [k] skb_queue_tail
     0.21%     0.00%  redis-server     [kernel.kallsyms]      [k] __x64_sys_epoll_wait
     0.21%     0.00%  redis-server     [kernel.kallsyms]      [k] irqentry_exit
     0.21%     0.03%  redis-server     [kernel.kallsyms]      [k] migrate_page_states
     0.20%     0.03%  memtier_benchma  [kernel.kallsyms]      [k] unix_write_space
     0.20%     0.00%  redis-server     [kernel.kallsyms]      [k] irqentry_exit_to_user_mode
     0.20%     0.20%  memtier_benchma  [kernel.kallsyms]      [k] unix_inq_len
     0.20%     0.00%  redis-server     [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     0.20%     0.02%  memtier_benchma  [kernel.kallsyms]      [k] dequeue_entity
     0.20%     0.07%  memtier_benchma  [kernel.kallsyms]      [k] __count_memcg_events
     0.20%     0.00%  redis-server     [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     0.19%     0.19%  memtier_benchma  [kernel.kallsyms]      [k] memset_erms
     0.18%     0.15%  memtier_benchma  [kernel.kallsyms]      [k] _copy_to_iter
     0.18%     0.05%  redis-server     [kernel.kallsyms]      [k] do_epoll_wait
     0.17%     0.00%  redis-server     [kernel.kallsyms]      [k] page_referenced
     0.17%     0.17%  memtier_benchma  libc.so.6              [.] epoll_ctl
