# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 343K of event 'cycles'
# Event count (approx.): 24922430201920
#
# Children      Self  Command          Shared Object      Symbol                                         
# ........  ........  ...............  .................  ...............................................
#
     1.27%     0.21%  memtier_benchma  [kernel.kallsyms]  [k] __fget_light
     1.24%     0.07%  redis-server     [kernel.kallsyms]  [k] __wake_up_common
     1.22%     0.01%  memtier_benchma  [kernel.kallsyms]  [k] __wake_up_sync_key
     1.21%     0.10%  memtier_benchma  [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     1.20%     1.19%  redis-server     [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     1.20%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] __wake_up_common_lock
     1.20%     0.17%  memtier_benchma  [kernel.kallsyms]  [k] sock_def_readable
     1.15%     1.13%  memtier_benchma  [kernel.kallsyms]  [k] get_obj_cgroup_from_current
     1.13%     0.62%  memtier_benchma  [kernel.kallsyms]  [k] __check_object_size
     1.12%     0.01%  redis-server     [kernel.kallsyms]  [k] kfree_skbmem
     1.12%     0.11%  redis-server     [kernel.kallsyms]  [k] kmem_cache_free
     1.09%     0.38%  memtier_benchma  [kernel.kallsyms]  [k] free_pcppages_bulk
     1.08%     0.20%  redis-server     [kernel.kallsyms]  [k] ep_poll_callback
     1.07%     1.04%  memtier_benchma  [kernel.kallsyms]  [k] __fget_files
     1.07%     0.10%  memtier_benchma  [kernel.kallsyms]  [k] __x64_sys_ioctl
     1.05%     0.07%  redis-server     [kernel.kallsyms]  [k] sock_def_readable
     1.04%     0.52%  redis-server     [kernel.kallsyms]  [k] mod_objcg_state
     1.04%     0.02%  redis-server     [kernel.kallsyms]  [k] skb_release_head_state
     1.03%     0.03%  redis-server     [kernel.kallsyms]  [k] unix_destruct_scm
     0.99%     0.67%  memtier_benchma  [kernel.kallsyms]  [k] drain_obj_stock
     0.99%     0.37%  redis-server     [kernel.kallsyms]  [k] sock_wfree
     0.96%     0.53%  redis-server     [kernel.kallsyms]  [k] _raw_spin_lock
     0.93%     0.07%  memtier_benchma  [kernel.kallsyms]  [k] __wake_up_common
     0.92%     0.39%  memtier_benchma  [kernel.kallsyms]  [k] __entry_text_start
     0.88%     0.05%  memtier_benchma  [kernel.kallsyms]  [k] __fdget
     0.84%     0.02%  redis-server     [kernel.kallsyms]  [k] unix_stream_read_actor
     0.82%     0.49%  redis-server     [kernel.kallsyms]  [k] try_charge_memcg
     0.82%     0.02%  redis-server     [kernel.kallsyms]  [k] skb_copy_datagram_iter
     0.82%     0.23%  memtier_benchma  [kernel.kallsyms]  [k] ep_poll_callback
     0.80%     0.04%  redis-server     [kernel.kallsyms]  [k] __skb_datagram_iter
     0.78%     0.37%  redis-server     [kernel.kallsyms]  [k] rmqueue_bulk
     0.76%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     0.76%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     0.76%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     0.76%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     0.76%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     0.76%     0.02%  redis-server     [kernel.kallsyms]  [k] simple_copy_to_iter
     0.74%     0.07%  memtier_benchma  [kernel.kallsyms]  [k] import_iovec
     0.74%     0.46%  memtier_benchma  [kernel.kallsyms]  [k] _raw_spin_lock
     0.72%     0.08%  memtier_benchma  [kernel.kallsyms]  [k] do_vfs_ioctl
     0.68%     0.11%  memtier_benchma  [kernel.kallsyms]  [k] ep_item_poll.isra.0
     0.68%     0.11%  memtier_benchma  [kernel.kallsyms]  [k] sock_ioctl
     0.67%     0.10%  memtier_benchma  [kernel.kallsyms]  [k] __import_iovec
     0.65%     0.51%  redis-server     [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.64%     0.00%  memtier_benchma  [kernel.kallsyms]  [k] schedule_hrtimeout_range
     0.64%     0.01%  memtier_benchma  [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
     0.63%     0.37%  memtier_benchma  [kernel.kallsyms]  [k] sock_poll
     0.63%     0.02%  memtier_benchma  [kernel.kallsyms]  [k] schedule
     0.63%     0.07%  redis-server     [kernel.kallsyms]  [k] ___slab_alloc
     0.62%     0.11%  redis-server     [kernel.kallsyms]  [k] unix_write_space
     0.62%     0.12%  memtier_benchma  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.61%     0.48%  memtier_benchma  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.60%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] rw_verify_area
     0.60%     0.25%  memtier_benchma  [kernel.kallsyms]  [k] mod_objcg_state
     0.59%     0.00%  redis-server     [kernel.kallsyms]  [k] __wake_up
     0.59%     0.08%  memtier_benchma  [kernel.kallsyms]  [k] __schedule
     0.59%     0.58%  memtier_benchma  [kernel.kallsyms]  [k] _raw_read_lock_irqsave
     0.56%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] skb_copy_datagram_from_iter
     0.56%     0.56%  redis-server     [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.55%     0.00%  redis-server     [kernel.kallsyms]  [k] autoremove_wake_function
     0.55%     0.00%  memtier_benchma  [kernel.kallsyms]  [k] kfree_skbmem
     0.55%     0.09%  memtier_benchma  [kernel.kallsyms]  [k] iovec_from_user
     0.55%     0.00%  redis-server     [kernel.kallsyms]  [k] default_wake_function
     0.55%     0.10%  memtier_benchma  [kernel.kallsyms]  [k] kmem_cache_free
     0.54%     0.01%  redis-server     [kernel.kallsyms]  [k] new_slab
     0.54%     0.02%  redis-server     [kernel.kallsyms]  [k] try_to_wake_up
     0.54%     0.47%  redis-server     [kernel.kallsyms]  [k] __slab_free
     0.53%     0.52%  memtier_benchma  [kernel.kallsyms]  [k] __free_one_page
     0.53%     0.47%  memtier_benchma  [kernel.kallsyms]  [k] mutex_lock
     0.52%     0.28%  memtier_benchma  [kernel.kallsyms]  [k] __mod_memcg_state.part.0
     0.52%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] sock_do_ioctl
     0.50%     0.13%  redis-server     [kernel.kallsyms]  [k] kmem_cache_alloc_node
     0.50%     0.10%  memtier_benchma  [kernel.kallsyms]  [k] security_file_permission
     0.48%     0.35%  memtier_benchma  [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.48%     0.09%  memtier_benchma  [kernel.kallsyms]  [k] ___slab_alloc
     0.46%     0.11%  memtier_benchma  [kernel.kallsyms]  [k] unix_ioctl
     0.44%     0.41%  memtier_benchma  [kernel.kallsyms]  [k] fput
     0.42%     0.41%  memtier_benchma  [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.41%     0.17%  redis-server     [kernel.kallsyms]  [k] __mod_memcg_state.part.0
     0.40%     0.02%  memtier_benchma  [kernel.kallsyms]  [k] skb_release_head_state
     0.40%     0.33%  memtier_benchma  [kernel.kallsyms]  [k] apparmor_file_permission
     0.40%     0.20%  memtier_benchma  [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.40%     0.39%  memtier_benchma  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.39%     0.39%  redis-server     [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.39%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] unix_destruct_scm
     0.39%     0.01%  swapper          [kernel.kallsyms]  [k] schedule_idle
     0.38%     0.01%  memtier_benchma  [kernel.kallsyms]  [k] new_slab
     0.37%     0.06%  swapper          [kernel.kallsyms]  [k] __schedule
     0.37%     0.10%  redis-server     [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.36%     0.20%  redis-server     [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.36%     0.13%  memtier_benchma  [kernel.kallsyms]  [k] sock_wfree
     0.35%     0.17%  redis-server     [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.35%     0.35%  redis-server     [kernel.kallsyms]  [k] blkcg_rstat_flush
     0.35%     0.10%  memtier_benchma  [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.34%     0.33%  memtier_benchma  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.34%     0.33%  memtier_benchma  [kernel.kallsyms]  [k] __virt_addr_valid
     0.34%     0.34%  redis-server     [kernel.kallsyms]  [k] memset_erms
     0.33%     0.06%  memtier_benchma  [kernel.kallsyms]  [k] __fdget_pos
     0.33%     0.00%  redis-server     [kernel.kallsyms]  [k] ttwu_do_activate
     0.32%     0.00%  memtier_benchma  [kernel.kallsyms]  [k] __alloc_pages
     0.32%     0.02%  memtier_benchma  [kernel.kallsyms]  [k] get_page_from_freelist
     0.31%     0.00%  memtier_benchma  [kernel.kallsyms]  [k] alloc_pages
     0.31%     0.31%  redis-server     redis-check-rdb    [.] stringObjectLen
     0.31%     0.31%  redis-server     [kernel.kallsyms]  [k] sync_regs
     0.30%     0.19%  memtier_benchma  [kernel.kallsyms]  [k] __slab_free
     0.30%     0.06%  redis-server     [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.30%     0.00%  redis-server     [kernel.kallsyms]  [k] enqueue_task
     0.29%     0.01%  memtier_benchma  [kernel.kallsyms]  [k] dequeue_task
     0.29%     0.03%  memtier_benchma  [kernel.kallsyms]  [k] dequeue_task_fair
     0.28%     0.28%  redis-server     [kernel.kallsyms]  [k] _raw_read_lock_irqsave
     0.28%     0.11%  redis-server     [kernel.kallsyms]  [k] __check_object_size
     0.28%     0.26%  memtier_benchma  [kernel.kallsyms]  [k] _raw_write_lock_irq
     0.28%     0.27%  memtier_benchma  [kernel.kallsyms]  [k] unix_poll
     0.27%     0.20%  memtier_benchma  [kernel.kallsyms]  [k] rcu_read_unlock_strict
     0.27%     0.07%  redis-server     [kernel.kallsyms]  [k] refill_obj_stock
     0.27%     0.27%  memtier_benchma  [kernel.kallsyms]  [k] mutex_unlock
     0.25%     0.10%  memtier_benchma  [kernel.kallsyms]  [k] __count_memcg_events
     0.25%     0.02%  memtier_benchma  [kernel.kallsyms]  [k] dequeue_entity
     0.24%     0.01%  redis-server     [kernel.kallsyms]  [k] obj_cgroup_uncharge
     0.24%     0.12%  memtier_benchma  [kernel.kallsyms]  [k] __build_skb_around
     0.23%     0.04%  redis-server     [kernel.kallsyms]  [k] obj_cgroup_charge
     0.23%     0.19%  redis-server     [kernel.kallsyms]  [k] prep_compound_page
     0.23%     0.03%  memtier_benchma  [kernel.kallsyms]  [k] unix_write_space
     0.23%     0.00%  redis-server     [kernel.kallsyms]  [k] task_work_run
     0.23%     0.00%  redis-server     [kernel.kallsyms]  [k] change_prot_numa
     0.23%     0.00%  redis-server     [kernel.kallsyms]  [k] task_numa_work
     0.23%     0.22%  memtier_benchma  [kernel.kallsyms]  [k] memset_erms
     0.22%     0.19%  memtier_benchma  [kernel.kallsyms]  [k] _copy_to_iter
     0.22%     0.21%  memtier_benchma  [kernel.kallsyms]  [k] unix_inq_len
     0.21%     0.02%  memtier_benchma  [kernel.kallsyms]  [k] skb_queue_tail
     0.20%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_select
     0.20%     0.00%  redis-server     [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.20%     0.19%  memtier_benchma  [kernel.kallsyms]  [k] __put_user_nocheck_4
     0.19%     0.18%  redis-server     [kernel.kallsyms]  [k] change_protection
     0.19%     0.19%  memtier_benchma  libc.so.6          [.] epoll_ctl
     0.19%     0.00%  redis-server     [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.19%     0.00%  redis-server     [kernel.kallsyms]  [k] swap_readpage
     0.19%     0.18%  memtier_benchma  [kernel.kallsyms]  [k] check_stack_object
     0.19%     0.14%  redis-server     [kernel.kallsyms]  [k] kernel_init_free_pages.part.0
     0.18%     0.15%  memtier_benchma  [kernel.kallsyms]  [k] aa_sk_perm
     0.18%     0.08%  swapper          [kernel.kallsyms]  [k] menu_select
     0.18%     0.00%  redis-server     [kernel.kallsyms]  [k] bdev_read_page
     0.18%     0.07%  memtier_benchma  [kernel.kallsyms]  [k] security_socket_recvmsg
     0.17%     0.00%  redis-server     [kernel.kallsyms]  [k] zram_rw_page
     0.17%     0.00%  redis-server     [kernel.kallsyms]  [k] __x64_sys_epoll_wait
     0.17%     0.06%  redis-server     [kernel.kallsyms]  [k] __count_memcg_events
     0.17%     0.15%  memtier_benchma  [kernel.kallsyms]  [k] entry_SYSCALL_64_safe_stack
     0.17%     0.00%  redis-server     [kernel.kallsyms]  [k] zram_bvec_rw.constprop.0
     0.17%     0.12%  memtier_benchma  [kernel.kallsyms]  [k] __cond_resched
     0.17%     0.01%  redis-server     [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.17%     0.10%  memtier_benchma  [kernel.kallsyms]  [k] _copy_from_user
     0.17%     0.00%  redis-server     [kernel.kallsyms]  [k] __zram_bvec_read.constprop.0
     0.17%     0.16%  memtier_benchma  [kernel.kallsyms]  [k] __ksize
     0.16%     0.03%  redis-server     [kernel.kallsyms]  [k] enqueue_task_fair
     0.16%     0.16%  memtier_benchma  [kernel.kallsyms]  [k] clear_page_erms
     0.16%     0.16%  memtier_benchma  [kernel.kallsyms]  [k] skb_set_owner_w
     0.16%     0.12%  redis-server     [kernel.kallsyms]  [k] obj_cgroup_uncharge_pages
     0.16%     0.00%  redis-server     [kernel.kallsyms]  [k] crypto_comp_decompress
     0.16%     0.16%  redis-server     [kernel.kallsyms]  [k] lzo1x_decompress_safe
     0.16%     0.00%  redis-server     [kernel.kallsyms]  [k] lzorle_decompress
     0.16%     0.00%  redis-server     [kernel.kallsyms]  [k] zcomp_decompress
     0.15%     0.05%  memtier_benchma  [kernel.kallsyms]  [k] security_socket_sendmsg
     0.15%     0.15%  redis-server     [kernel.kallsyms]  [k] slab_free_freelist_hook.constprop.0
     0.15%     0.00%  redis-server     [kernel.kallsyms]  [k] irqentry_exit
     0.15%     0.15%  redis-server     [kernel.kallsyms]  [k] get_obj_cgroup_from_current
     0.15%     0.02%  redis-server     [kernel.kallsyms]  [k] skb_unlink
     0.15%     0.00%  redis-server     [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.14%     0.00%  swapper          [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.14%     0.04%  redis-server     [kernel.kallsyms]  [k] do_epoll_wait
     0.14%     0.02%  redis-server     [kernel.kallsyms]  [k] psi_task_change
     0.14%     0.00%  swapper          [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.13%     0.13%  memtier_benchma  [kernel.kallsyms]  [k] uncharge_page
     0.13%     0.04%  redis-server     [kernel.kallsyms]  [k] enqueue_entity
     0.13%     0.01%  swapper          [kernel.kallsyms]  [k] psi_task_switch
     0.13%     0.05%  memtier_benchma  [kernel.kallsyms]  [k] apparmor_socket_recvmsg
     0.13%     0.12%  redis-server     [kernel.kallsyms]  [k] __next_zones_zonelist
     0.13%     0.13%  memtier_benchma  [kernel.kallsyms]  [k] free_pcp_prepare
     0.12%     0.03%  redis-server     [kernel.kallsyms]  [k] __fget_light
     0.12%     0.12%  memtier_benchma  [kernel.kallsyms]  [k] syscall_enter_from_user_mode
     0.12%     0.00%  memtier_benchma  [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.12%     0.00%  redis-server     [kernel.kallsyms]  [k] rw_verify_area
     0.12%     0.02%  memtier_benchma  [kernel.kallsyms]  [k] ksize
     0.12%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] apparmor_socket_sendmsg
     0.12%     0.12%  redis-server     [kernel.kallsyms]  [k] __zone_watermark_ok
     0.12%     0.12%  redis-server     [kernel.kallsyms]  [k] _raw_read_unlock_irqrestore
     0.12%     0.12%  redis-server     [kernel.kallsyms]  [k] page_counter_try_charge
     0.12%     0.00%  memtier_benchma  [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.12%     0.03%  memtier_benchma  [kernel.kallsyms]  [k] rmqueue_bulk
     0.11%     0.01%  redis-server     [kernel.kallsyms]  [k] security_file_permission
     0.11%     0.03%  memtier_benchma  [kernel.kallsyms]  [k] update_load_avg
     0.11%     0.11%  memtier_benchma  [kernel.kallsyms]  [k] __check_heap_object
     0.11%     0.11%  swapper          [kernel.kallsyms]  [k] psi_group_change
     0.11%     0.01%  memtier_benchma  [kernel.kallsyms]  [k] psi_task_switch
     0.11%     0.11%  redis-server     [kernel.kallsyms]  [k] psi_group_change
     0.11%     0.09%  memtier_benchma  [kernel.kallsyms]  [k] _copy_from_iter
     0.11%     0.01%  memtier_benchma  [kernel.kallsyms]  [k] put_cpu_partial
     0.11%     0.10%  memtier_benchma  [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.10%     0.06%  redis-server     [kernel.kallsyms]  [k] numa_migrate_prep
     0.10%     0.09%  redis-server     [kernel.kallsyms]  [k] _copy_to_iter
     0.10%     0.10%  redis-server     [kernel.kallsyms]  [k] __check_heap_object
     0.10%     0.00%  redis-server     [kernel.kallsyms]  [k] skb_queue_tail
     0.10%     0.04%  memtier_benchma  [kernel.kallsyms]  [k] ep_done_scan
     0.10%     0.10%  memtier_benchma  libc.so.6          [.] readv
     0.10%     0.07%  memtier_benchma  [kernel.kallsyms]  [k] rcu_all_qs
     0.10%     0.03%  memtier_benchma  [kernel.kallsyms]  [k] update_curr
     0.10%     0.00%  redis-server     [kernel.kallsyms]  [k] __fdget_pos
     0.10%     0.09%  redis-server     [kernel.kallsyms]  [k] mutex_lock
     0.10%     0.09%  memtier_benchma  [kernel.kallsyms]  [k] _raw_read_unlock_irqrestore
     0.10%     0.09%  redis-server     [kernel.kallsyms]  [k] _find_next_bit
     0.09%     0.09%  memtier_benchma  [kernel.kallsyms]  [k] __put_user_nocheck_8
     0.09%     0.01%  memtier_benchma  [kernel.kallsyms]  [k] __unfreeze_partials
     0.09%     0.02%  swapper          [kernel.kallsyms]  [k] tick_nohz_get_sleep_length
     0.09%     0.05%  swapper          [kernel.kallsyms]  [k] switch_mm_irqs_off
     0.09%     0.09%  redis-server     [kernel.kallsyms]  [k] __fget_files
     0.09%     0.07%  redis-server     [kernel.kallsyms]  [k] error_entry
     0.09%     0.01%  redis-server     [kernel.kallsyms]  [k] refill_stock
     0.09%     0.09%  memtier_benchma  libc.so.6          [.] writev
     0.09%     0.09%  memtier_benchma  libc.so.6          [.] ioctl
